"HGNC" "ENST"
"ADNP2-001" "ENST00000262198.4"
"ADO-001" "ENST00000373783.1"
"ADPGK-002" "ENST00000311669.8"
"ADPRH-003" "ENST00000478927.1"
"ADPRHL2-001" "ENST00000373178.4"
"ADPRM-001" "ENST00000379774.4"
"ADRBK1-001" "ENST00000308595.5"
"ADRBK2-001" "ENST00000324198.4"
"ADRM1-001" "ENST00000253003.2"
"ADSL-001" "ENST00000216194.7"
"ADSS-001" "ENST00000366535.3"
"AEBP2-002" "ENST00000398864.3"
"AEN-001" "ENST00000332810.3"
"AES-003" "ENST00000327141.4"
"AFAP1L2-002" "ENST00000304129.4"
"AFF1-201" "ENST00000395146.4"
"AFF4-001" "ENST00000265343.5"
"AFG3L2-001" "ENST00000269143.3"
"AFMID-001" "ENST00000327898.5"
"AFTPH-202" "ENST00000422803.1"
"AGA-001" "ENST00000264595.2"
"AGAP2-002" "ENST00000547588.1"
"AGAP3-001" "ENST00000397238.2"
"AGBL5-004" "ENST00000360131.4"
"AGFG1-001" "ENST00000310078.7"
"AGFG2-001" "ENST00000300176.4"
"AGGF1-001" "ENST00000312916.7"
"AGK-001" "ENST00000355413.4"
"AGL-001" "ENST00000361915.3"
"AGMAT-001" "ENST00000375826.3"
"AGPAT1-003" "ENST00000375104.2"
"AGPAT2-201" "ENST00000538402.1"
"AGPAT3-004" "ENST00000398063.2"
"AGPAT4-001" "ENST00000320285.4"
"AGPAT5-001" "ENST00000285518.6"
"AGPAT6-001" "ENST00000396987.3"
"AGPAT9-002" "ENST00000264409.4"
"AGPS-001" "ENST00000264167.4"
"AGRN-001" "ENST00000379370.2"
"AGTPBP1-004" "ENST00000357081.3"
"AGTRAP-001" "ENST00000314340.5"
"AGXT2L2-001" "ENST00000308158.5"
"AHCTF1-201" "ENST00000391829.2"
"AHCY-002" "ENST00000217426.2"
"AHCYL1-001" "ENST00000369799.5"
"AHCYL2-012" "ENST00000325006.3"
"AHDC1-201" "ENST00000374011.2"
"AHI1-011" "ENST00000265602.6"
"AHNAK-005" "ENST00000378024.4"
"AHR-002" "ENST00000242057.4"
"AHRR-001" "ENST00000316418.5"
"AHSA1-001" "ENST00000216479.3"
"AICDA-001" "ENST00000229335.6"
"AIDA-001" "ENST00000340020.6"
"AIF1-001" "ENST00000376059.3"
"AIFM1-001" "ENST00000287295.3"
"AIFM2-002" "ENST00000373248.1"
"AIG1-001" "ENST00000357847.4"
"AIM1-001" "ENST00000369066.3"
"AIM2-001" "ENST00000368130.4"
"AIMP1-001" "ENST00000394701.4"
"AIMP2-001" "ENST00000223029.3"
"AIP-001" "ENST00000279146.3"
"AK2-001" "ENST00000354858.6"
"AK3-002" "ENST00000381809.3"
"AK4-202" "ENST00000545314.1"
"AKAP1-001" "ENST00000337714.3"
"AKAP10-001" "ENST00000225737.6"
"AKAP11-001" "ENST00000025301.2"
"AKAP13-001" "ENST00000361243.2"
"AKAP17A-003" "ENST00000313871.3"
"AKAP5-001" "ENST00000320636.5"
"AKAP8-008" "ENST00000269701.2"
"AKAP8L-004" "ENST00000397410.4"
"AKAP9-202" "ENST00000359028.2"
"AKD1-202" "ENST00000424296.2"
"AKIP1-010" "ENST00000534147.1"
"AKIRIN1-001" "ENST00000432648.3"
"AKIRIN2-001" "ENST00000257787.5"
"AKNA-201" "ENST00000307564.4"
"AKR1A1-002" "ENST00000351829.4"
"AKR1B1-001" "ENST00000285930.3"
"AKR7A2-001" "ENST00000235835.3"
"AKT1-004" "ENST00000554848.1"
"AKT1S1-201" "ENST00000391834.2"
"AKT2-201" "ENST00000424901.1"
"AKT3-001" "ENST00000366539.1"
"AKTIP-003" "ENST00000300245.4"
"AL139147.1-201" "ENST00000502413.2"
"AL590867.1-201" "ENST00000392385.2"
"AL592284.1-201" "ENST00000538264.1"
"ALAD-001" "ENST00000409155.3"
"ALAS1-003" "ENST00000310271.2"
"ALCAM-001" "ENST00000306107.5"
"ALDH16A1-001" "ENST00000293350.4"
"ALDH18A1-001" "ENST00000371224.2"
"ALDH1B1-001" "ENST00000377698.3"
"ALDH1L2-001" "ENST00000258494.9"
"ALDH2-001" "ENST00000261733.2"
"ALDH3A2-004" "ENST00000395575.2"
"ALDH4A1-001" "ENST00000375341.3"
"ALDH5A1-001" "ENST00000357578.3"
"ALDH6A1-001" "ENST00000553458.1"
"ALDH7A1-001" "ENST00000409134.3"
"ALDH9A1-001" "ENST00000354775.4"
"ALDOA-011" "ENST00000395240.3"
"ALDOC-003" "ENST00000395321.2"
"ALG1-001" "ENST00000262374.5"
"ALG10-001" "ENST00000266483.2"
"ALG10B-001" "ENST00000308742.4"
"ALG11-001" "ENST00000521508.1"
"ALG12-001" "ENST00000330817.5"
"ALG13-011" "ENST00000394780.3"
"ALG14-001" "ENST00000370205.4"
"ALG2-002" "ENST00000476832.1"
"ALG3-001" "ENST00000397676.3"
"ALG5-001" "ENST00000239891.3"
"ALG6-006" "ENST00000263440.4"
"ALG8-001" "ENST00000299626.5"
"ALKBH1-001" "ENST00000216489.3"
"ALKBH2-001" "ENST00000343075.3"
"ALKBH3-001" "ENST00000302708.4"
"ALKBH4-001" "ENST00000292566.3"
"ALKBH5-001" "ENST00000399138.4"
"ALKBH6-003" "ENST00000378875.3"
"ALKBH7-001" "ENST00000245812.3"
"ALKBH8-005" "ENST00000417449.2"
"ALMS1-001" "ENST00000264448.6"
"ALOX5-001" "ENST00000374391.2"
"ALOX5AP-001" "ENST00000380490.3"
"ALPK1-001" "ENST00000177648.9"
"ALPK2-001" "ENST00000361673.3"
"ALS2-001" "ENST00000264276.6"
"ALYREF-201" "ENST00000331204.4"
"AMACR-001" "ENST00000335606.6"
"AMBRA1-005" "ENST00000458649.2"
"AMD1-003" "ENST00000368885.3"
"AMDHD2-004" "ENST00000293971.6"
"AMFR-001" "ENST00000290649.5"
"AMICA1-001" "ENST00000356289.5"
"AMMECR1-001" "ENST00000262844.5"
"AMMECR1L-001" "ENST00000272647.5"
"AMN1-001" "ENST00000281471.6"
"AMOT-201" "ENST00000371959.3"
"AMOTL1-001" "ENST00000433060.2"
"AMPD2-011" "ENST00000256578.3"
"AMPD3-005" "ENST00000529507.1"
"AMZ2-001" "ENST00000359904.3"
"ANAPC1-001" "ENST00000341068.3"
"ANAPC10-003" "ENST00000507656.1"
"ANAPC11-002" "ENST00000574924.2"
"ANAPC13-001" "ENST00000510994.1"
"ANAPC15-002" "ENST00000543587.1"
"ANAPC16-001" "ENST00000299381.3"
"ANAPC2-001" "ENST00000323927.2"
"ANAPC4-002" "ENST00000510092.1"
"ANAPC5-001" "ENST00000261819.3"
"ANAPC7-001" "ENST00000455511.3"
"ANG-001" "ENST00000336811.6"
"ANGEL1-001" "ENST00000251089.2"
"ANGEL2-001" "ENST00000366962.3"
"ANGPTL6-001" "ENST00000253109.4"
"ANK1-203" "ENST00000396942.1"
"ANK2-026" "ENST00000264366.6"
"ANKFY1-003" "ENST00000574367.1"
"ANKH-001" "ENST00000284268.6"
"ANKIB1-001" "ENST00000265742.3"
"ANKLE1-004" "ENST00000404261.4"
"ANKLE2-001" "ENST00000357997.5"
"ANKMY1-010" "ENST00000401804.1"
"ANKRA2-001" "ENST00000296785.3"
"ANKRD10-003" "ENST00000267339.2"
"ANKRD11-014" "ENST00000378330.2"
"ANKRD12-001" "ENST00000262126.3"
"ANKRD13A-001" "ENST00000261739.4"
"ANKRD13C-001" "ENST00000370944.4"
"ANKRD13D-201" "ENST00000511455.2"
"ANKRD16-003" "ENST00000380094.4"
"ANKRD17-001" "ENST00000358602.4"
"ANKRD26-001" "ENST00000376087.4"
"ANKRD27-001" "ENST00000306065.4"
"ANKRD28-003" "ENST00000399451.2"
"ANKRD32-001" "ENST00000265140.5"
"ANKRD33B-001" "ENST00000296657.4"
"ANKRD36-001" "ENST00000461153.2"
"ANKRD36C-001" "ENST00000456556.1"
"ANKRD37-001" "ENST00000335174.4"
"ANKRD39-001" "ENST00000393537.4"
"ANKRD40-001" "ENST00000285243.6"
"ANKRD42-008" "ENST00000533342.1"
"ANKRD44-201" "ENST00000282272.8"
"ANKRD46-001" "ENST00000335659.3"
"ANKRD49-004" "ENST00000302755.4"
"ANKRD50-002" "ENST00000504087.1"
"ANKRD52-201" "ENST00000417002.2"
"ANKRD54-001" "ENST00000215941.4"
"ANKS1A-001" "ENST00000360359.3"
"ANKS3-001" "ENST00000304283.4"
"ANKZF1-001" "ENST00000323348.5"
"ANLN-001" "ENST00000265748.2"
"ANO10-001" "ENST00000292246.3"
"ANO5-001" "ENST00000324559.8"
"ANO6-001" "ENST00000320560.8"
"ANO8-001" "ENST00000159087.4"
"ANO9-001" "ENST00000332826.6"
"ANP32A-001" "ENST00000465139.2"
"ANP32B-001" "ENST00000339399.4"
"ANP32E-001" "ENST00000314136.8"
"ANTXR2-004" "ENST00000403729.2"
"ANXA1-002" "ENST00000257497.6"
"ANXA11-004" "ENST00000372234.1"
"ANXA2-002" "ENST00000451270.2"
"ANXA4-001" "ENST00000394295.4"
"ANXA5-001" "ENST00000296511.5"
"ANXA6-001" "ENST00000354546.5"
"ANXA7-002" "ENST00000372919.4"
"AP1AR-001" "ENST00000274000.5"
"AP1B1-201" "ENST00000356015.2"
"AP1G1-014" "ENST00000393512.3"
"AP1G2-003" "ENST00000397120.3"
"AP1M1-001" "ENST00000291439.3"
"AP1S1-001" "ENST00000337619.5"
"AP1S2-001" "ENST00000329235.2"
"AP1S3-007" "ENST00000396654.2"
"AP2A1-008" "ENST00000359032.5"
"AP2A2-201" "ENST00000332231.5"
"AP2B1-005" "ENST00000312678.8"
"AP2M1-003" "ENST00000292807.5"
"AP2S1-001" "ENST00000263270.6"
"AP3B1-001" "ENST00000255194.6"
"AP3D1-001" "ENST00000355272.6"
"AP3M1-002" "ENST00000372745.1"
"AP3M2-201" "ENST00000174653.3"
"AP3S1-001" "ENST00000316788.7"
"AP3S2-001" "ENST00000336418.4"
"AP4B1-009" "ENST00000369569.1"
"AP4E1-001" "ENST00000261842.5"
"AP4M1-015" "ENST00000421755.1"
"AP4S1-201" "ENST00000313566.6"
"AP5B1-001" "ENST00000532090.2"
"AP5M1-001" "ENST00000261558.3"
"AP5S1-004" "ENST00000379567.2"
"AP5Z1-001" "ENST00000348624.4"
"APAF1-002" "ENST00000551964.1"
"APBA3-001" "ENST00000316757.3"
"APBB1IP-003" "ENST00000376236.4"
"APBB2-003" "ENST00000508593.1"
"APBB3-001" "ENST00000356738.2"
"APC-004" "ENST00000508376.2"
"APEH-001" "ENST00000296456.5"
"APEX1-002" "ENST00000555414.1"
"APEX2-001" "ENST00000374987.3"
"APH1A-001" "ENST00000360244.4"
"APH1B-001" "ENST00000261879.5"
"API5-001" "ENST00000378852.3"
"APIP-001" "ENST00000395787.3"
"APITD1-001" "ENST00000309048.2"
"APLP2-005" "ENST00000263574.5"
"APMAP-001" "ENST00000217456.2"
"APOA1BP-001" "ENST00000368235.3"
"APOBEC3B-002" "ENST00000402182.3"
"APOBEC3C-001" "ENST00000361441.3"
"APOBEC3D-001" "ENST00000216099.7"
"APOBEC3F-001" "ENST00000308521.5"
"APOBEC3G-001" "ENST00000407997.3"
"APOBEC3H-002" "ENST00000401756.1"
"APOBR-001" "ENST00000564831.1"
"APOL2-002" "ENST00000358502.5"
"APOL3-003" "ENST00000349314.2"
"APOL6-001" "ENST00000409652.3"
"APOM-001" "ENST00000375916.3"
"APOO-002" "ENST00000379226.4"
"APOOL-001" "ENST00000373173.2"
"APOPT1-001" "ENST00000409074.2"
"APP-004" "ENST00000346798.3"
"APPBP2-001" "ENST00000083182.3"
"APPL1-001" "ENST00000288266.3"
"APPL2-001" "ENST00000258530.3"
"APRT-001" "ENST00000378364.3"
"APTX-003" "ENST00000379819.1"
"AQP3-001" "ENST00000297991.4"
"AQR-001" "ENST00000156471.5"
"ARAF-001" "ENST00000377045.4"
"ARAP1-001" "ENST00000393609.3"
"ARAP2-001" "ENST00000303965.4"
"ARCN1-001" "ENST00000264028.4"
"ARF1-001" "ENST00000272102.5"
"ARF3-001" "ENST00000256682.4"
"ARF4-001" "ENST00000303436.6"
"ARF5-001" "ENST00000000233.5"
"ARF6-001" "ENST00000298316.5"
"ARFGAP1-003" "ENST00000353546.3"
"ARFGAP2-001" "ENST00000524782.1"
"ARFGAP3-001" "ENST00000263245.5"
"ARFGEF1-001" "ENST00000262215.3"
"ARFGEF2-001" "ENST00000371917.4"
"ARFIP1-001" "ENST00000451320.2"
"ARFIP2-008" "ENST00000254584.2"
"ARFRP1-201" "ENST00000359715.4"
"ARG2-001" "ENST00000261783.3"
"ARGLU1-001" "ENST00000400198.3"
"ARHGAP1-001" "ENST00000311956.4"
"ARHGAP10-001" "ENST00000336498.3"
"ARHGAP11A-001" "ENST00000361627.3"
"ARHGAP12-202" "ENST00000396144.4"
"ARHGAP15-001" "ENST00000295095.6"
"ARHGAP17-001" "ENST00000289968.6"
"ARHGAP18-201" "ENST00000275189.4"
"ARHGAP19-003" "ENST00000358531.4"
"ARHGAP21-001" "ENST00000396432.2"
"ARHGAP24-001" "ENST00000395184.1"
"ARHGAP25-001" "ENST00000409202.3"
"ARHGAP26-001" "ENST00000274498.4"
"ARHGAP27-202" "ENST00000428638.1"
"ARHGAP30-007" "ENST00000368013.3"
"ARHGAP31-001" "ENST00000264245.4"
"ARHGAP35-001" "ENST00000404338.3"
"ARHGAP4-001" "ENST00000370028.3"
"ARHGAP42-201" "ENST00000298815.8"
"ARHGAP5-001" "ENST00000539826.2"
"ARHGAP6-001" "ENST00000337414.4"
"ARHGAP9-002" "ENST00000393797.2"
"ARHGDIA-001" "ENST00000269321.7"
"ARHGDIB-001" "ENST00000228945.4"
"ARHGEF1-006" "ENST00000337665.4"
"ARHGEF11-001" "ENST00000368194.3"
"ARHGEF12-001" "ENST00000397843.2"
"ARHGEF17-001" "ENST00000263674.3"
"ARHGEF18-001" "ENST00000359920.6"
"ARHGEF2-001" "ENST00000361247.4"
"ARHGEF28-202" "ENST00000513042.2"
"ARHGEF3-001" "ENST00000296315.3"
"ARHGEF39-001" "ENST00000378387.3"
"ARHGEF5-001" "ENST00000056217.5"
"ARHGEF6-001" "ENST00000250617.6"
"ARHGEF7-201" "ENST00000370623.3"
"ARHGEF9-001" "ENST00000253401.6"
"ARID1A-001" "ENST00000324856.7"
"ARID1B-202" "ENST00000367148.1"
"ARID2-001" "ENST00000334344.6"
"ARID3A-001" "ENST00000263620.3"
"ARID3B-001" "ENST00000346246.5"
"ARID4A-001" "ENST00000355431.3"
"ARID4B-201" "ENST00000264183.3"
"ARID5B-001" "ENST00000279873.7"
"ARIH1-001" "ENST00000379887.4"
"ARIH2-002" "ENST00000449376.1"
"ARL1-001" "ENST00000261636.8"
"ARL10-001" "ENST00000310389.5"
"ARL11-001" "ENST00000282026.1"
"ARL13B-004" "ENST00000471138.1"
"ARL14EP-001" "ENST00000282032.3"
"ARL15-004" "ENST00000504924.1"
"ARL16-001" "ENST00000397498.4"
"ARL2-001" "ENST00000246747.4"
"ARL2BP-001" "ENST00000219204.3"
"ARL3-001" "ENST00000260746.4"
"ARL5A-001" "ENST00000295087.8"
"ARL5B-001" "ENST00000377275.3"
"ARL6-202" "ENST00000394206.1"
"ARL6IP1-001" "ENST00000304414.7"
"ARL6IP4-001" "ENST00000315580.5"
"ARL6IP5-001" "ENST00000273258.3"
"ARL6IP6-001" "ENST00000326446.4"
"ARL8A-001" "ENST00000272217.2"
"ARL8B-001" "ENST00000256496.3"
"ARMC1-001" "ENST00000276569.3"
"ARMC10-003" "ENST00000441711.2"
"ARMC5-001" "ENST00000408912.3"
"ARMC6-006" "ENST00000392336.3"
"ARMC7-001" "ENST00000245543.1"
"ARMC8-003" "ENST00000469044.1"
"ARMC9-001" "ENST00000349938.4"
"ARMCX2-013" "ENST00000330154.2"
"ARMCX3-201" "ENST00000537169.1"
"ARMCX5-202" "ENST00000537008.1"
"ARMCX6-202" "ENST00000539247.1"
"ARNT-001" "ENST00000358595.5"
"ARNTL-004" "ENST00000403290.1"
"ARNTL2-001" "ENST00000266503.5"
"ARPC1A-001" "ENST00000262942.5"
"ARPC1B-001" "ENST00000252725.5"
"ARPC2-001" "ENST00000295685.10"
"ARPC3-001" "ENST00000228825.7"
"ARPC4-001" "ENST00000397261.2"
"ARPC5-002" "ENST00000294742.6"
"ARPC5L-001" "ENST00000259477.6"
"ARPP19-002" "ENST00000249822.4"
"ARRB1-001" "ENST00000420843.2"
"ARRB2-002" "ENST00000269260.2"
"ARRDC1-001" "ENST00000371421.4"
"ARRDC2-002" "ENST00000222250.4"
"ARRDC3-001" "ENST00000265138.3"
"ARSA-001" "ENST00000216124.5"
"ARSB-001" "ENST00000264914.4"
"ARSD-001" "ENST00000381154.1"
"ARSK-001" "ENST00000380009.4"
"ARV1-001" "ENST00000310256.2"
"ASAH1-001" "ENST00000262097.6"
"ASAP1-201" "ENST00000357668.1"
"ASB1-001" "ENST00000264607.4"
"ASB2-002" "ENST00000555019.1"
"ASB3-001" "ENST00000263634.2"
"ASB6-001" "ENST00000277458.4"
"ASB7-001" "ENST00000332783.7"
"ASB8-001" "ENST00000317697.3"
"ASCC1-202" "ENST00000394919.1"
"ASCC2-002" "ENST00000397771.2"
"ASCC3-001" "ENST00000369162.2"
"ASF1A-001" "ENST00000229595.5"
"ASF1B-001" "ENST00000263382.3"
"ASH1L-001" "ENST00000368346.3"
"ASH2L-001" "ENST00000343823.5"
"ASL-005" "ENST00000395332.3"
"ASMTL-005" "ENST00000381317.3"
"ASNA1-201" "ENST00000357332.3"
"ASNS-007" "ENST00000394309.3"
"ASNSD1-001" "ENST00000260952.4"
"ASPH-002" "ENST00000379454.4"
"ASPHD2-001" "ENST00000215906.5"
"ASPM-001" "ENST00000367409.4"
"ASPSCR1-001" "ENST00000306739.4"
"ASRGL1-001" "ENST00000301776.5"
"ASTE1-003" "ENST00000514044.1"
"ASTN2-201" "ENST00000313400.4"
"ASUN-001" "ENST00000261191.7"
"ASXL2-001" "ENST00000435504.3"
"ATAD1-002" "ENST00000328142.3"
"ATAD2-001" "ENST00000287394.5"
"ATAD2B-001" "ENST00000238789.5"
"ATAD3A-001" "ENST00000378756.3"
"ATAD3B-001" "ENST00000308647.7"
"ATAD5-001" "ENST00000321990.4"
"ATAT1-002" "ENST00000376485.4"
"ATE1-001" "ENST00000369043.3"
"ATF1-001" "ENST00000262053.3"
"ATF2-202" "ENST00000426833.3"
"ATF3-001" "ENST00000341491.4"
"ATF4-001" "ENST00000404241.2"
"ATF5-001" "ENST00000423777.2"
"ATF6-001" "ENST00000367942.3"
"ATF6B-002" "ENST00000375203.3"
"ATF7-201" "ENST00000328463.7"
"ATF7IP-201" "ENST00000261168.4"
"ATF7IP2-202" "ENST00000356427.2"
"ATG10-001" "ENST00000282185.3"
"ATG12-001" "ENST00000509910.1"
"ATG13-003" "ENST00000529655.1"
"ATG14-001" "ENST00000247178.5"
"ATG16L1-001" "ENST00000392017.4"
"ATG16L2-001" "ENST00000321297.5"
"ATG2A-201" "ENST00000421419.2"
"ATG2B-001" "ENST00000359933.4"
"ATG3-001" "ENST00000283290.5"
"ATG4A-001" "ENST00000372232.3"
"ATG4B-002" "ENST00000404914.3"
"ATG4C-001" "ENST00000317868.4"
"ATG4D-001" "ENST00000309469.4"
"ATG5-001" "ENST00000369076.3"
"ATG7-001" "ENST00000354449.3"
"ATG9A-004" "ENST00000409618.1"
"ATHL1-002" "ENST00000409479.1"
"ATIC-001" "ENST00000236959.9"
"ATL2-002" "ENST00000378954.4"
"ATL3-001" "ENST00000398868.3"
"ATM-201" "ENST00000278616.4"
"ATMIN-001" "ENST00000299575.4"
"ATN1-002" "ENST00000356654.3"
"ATOX1-001" "ENST00000524142.1"
"ATP10D-001" "ENST00000273859.3"
"ATP11A-202" "ENST00000375630.2"
"ATP11B-001" "ENST00000323116.5"
"ATP11C-008" "ENST00000327569.3"
"ATP13A1-001" "ENST00000357324.6"
"ATP13A2-001" "ENST00000326735.8"
"ATP13A3-201" "ENST00000256031.4"
"ATP1A1-202" "ENST00000537345.1"
"ATP1B1-001" "ENST00000367815.3"
"ATP1B3-001" "ENST00000286371.3"
"ATP2A2-003" "ENST00000539276.2"
"ATP2A3-002" "ENST00000397043.3"
"ATP2B1-001" "ENST00000428670.3"
"ATP2B4-001" "ENST00000357681.5"
"ATP2C1-005" "ENST00000359644.3"
"ATP5A1-001" "ENST00000398752.6"
"ATP5B-001" "ENST00000262030.3"
"ATP5C1-001" "ENST00000356708.7"
"ATP5D-201" "ENST00000395633.1"
"ATP5E-001" "ENST00000243997.3"
"ATP5F1-001" "ENST00000369722.3"
"ATP5G1-003" "ENST00000393366.2"
"ATP5G2-006" "ENST00000549164.1"
"ATP5G3-001" "ENST00000284727.4"
"ATP5H-001" "ENST00000301587.4"
"ATP5I-001" "ENST00000304312.4"
"ATP5J-006" "ENST00000400087.3"
