ID,ID,ID,ID,USE,USE,MAYBE USE,MAYBE USE,MAYBE USE,MAYBE USE,,,
ENSP00000337445,ENSG00000006744,ENST00000338034,,1487200,0.01,0.22,0.22,81021.79177,0.01,ENSP00000337445_ENSG00000006744_ENST00000338034;ENSP00000379291_ENSG00000006744_ENST00000395962;ENSP00000405223_ENSG00000006744_ENST00000426905;ENSP00000463740_ENSG00000006744_ENST00000584650;ENSP00000406192_ENSG00000006744_ENST00000446899,826,NaN
ENSP00000252172,ENSG00000006788,ENST00000252172,,102830000,0.01,0.08,0.19,5359133.127,0.00,ENSP00000252172_ENSG00000006788_ENST00000252172;ENSP00000404570_ENSG00000006788_ENST00000418404,1938,NaN
ENSP00000408730,ENSG00000007080,ENST00000445755,,480010,0.00,0.10,0.10,25830.04484,0.00,ENSP00000408730_ENSG00000007080_ENST00000445755;ENSP00000471455_ENSG00000007080_ENST00000597436,223,NaN
ENSP00000262193,ENSG00000008018,ENST00000262193,,52701000,0.22,2.43,5.16,3061452.282,0.10,ENSP00000262193_ENSG00000008018_ENST00000262193,241,241
ENSP00000233099,ENSG00000008869,ENST00000233099,,121720,0.00,0.03,0.04,5936.262675,0.00,ENSP00000233099_ENSG00000008869_ENST00000233099;ENSP00000346531_ENSG00000008869_ENST00000354531,2071,NaN
ENSP00000429374,ENSG00000008988,ENST00000519807,,43177000,0.34,6.05,12.63,1520281.69,0.16,ENSP00000429374_ENSG00000008988_ENST00000519807;ENSP00000009589_ENSG00000008988_ENST00000009589;ENSP00000427788_ENSG00000008988_ENST00000521262;ENSP00000428104_ENSG00000008988_ENST00000523936;ENSP00000428146_ENSG00000008988_ENST00000518875;ENSP00000429333_ENSG00000008988_ENST00000519606,142,NaN
ENSP00000356602,ENSG00000009844,ENST00000367630,,18725000,0.06,1.47,2.40,731889.2508,0.04,ENSP00000356602_ENSG00000009844_ENST00000367630;ENSP00000356593_ENSG00000009844_ENST00000367621;ENSP00000395767_ENSG00000009844_ENST00000452973,307,NaN
ENSP00000203407,ENSG00000010256,ENST00000203407,,90797000,0.20,2.61,5.83,4539791.667,0.09,ENSP00000203407_ENSG00000010256_ENST00000203407,480,480
ENSP00000325017,ENSG00000010292,ENST00000315579,,794670,0.01,0.18,0.20,42541.75589,0.01,ENSP00000325017_ENSG00000010292_ENST00000315579;ENSP00000444417_ENSG00000010292_ENST00000545962;ENSP00000371895_ENSG00000010292_ENST00000382457,1401,NaN
ENSP00000308176,ENSG00000010671,ENST00000308731,,2400000,0.03,0.41,0.72,149318.6646,0.02,ENSP00000308176_ENSG00000010671_ENST00000308731;ENSP00000469726_ENSG00000268897_ENST00000593575;ENSP00000361971_ENSG00000010671_ENST00000372880;ENSP00000470723_ENSG00000268897_ENST00000593634,659,NaN
ENSP00000363638,ENSG00000011009,ENST00000374514,,81593000,0.16,3.52,5.66,4238614.719,0.10,ENSP00000363638_ENSG00000011009_ENST00000374514;ENSP00000409004_ENSG00000011009_ENST00000420982;ENSP00000363627_ENSG00000011009_ENST00000374503;ENSP00000363626_ENSG00000011009_ENST00000374502;ENSP00000363625_ENSG00000011009_ENST00000374501;ENSP00000363629_ENSG00000011009_ENST00000374505;ENSP00000382934_ENSG00000011009_ENST00000400061,231,NaN
ENSP00000451932,ENSG00000011052,ENST00000555572,,20459000,0.29,3.55,8.49,1331232.877,0.12,ENSP00000451932_ENSG00000011052_ENST00000555572;ENSP00000477284_ENSG00000243678_ENST00000608447;ENSP00000376889_ENSG00000011052_ENST00000393193;ENSP00000376894_ENSG00000243678_ENST00000393198;ENSP00000376886_ENSG00000243678_ENST00000393190;ENSP00000421064_ENSG00000243678_ENST00000512737;ENSP00000425581_ENSG00000243678_ENST00000513177;ENSP00000426901_ENSG00000243678_ENST00000503064;ENSP00000426976_ENSG00000243678_ENST00000514264;ENSP00000365572_ENSG00000011052_ENST00000376392;ENSP00000429318_ENSG00000239672_ENST00000480143;ENSP00000376880_ENSG00000243678_ENST00000393183;ENSP00000376882_ENSG00000243678_ENST00000393185,292,NaN
ENSP00000349428,ENSG00000011304,ENST00000356948,,220660000,0.27,4.40,8.74,7526929.982,0.13,ENSP00000349428_ENSG00000011304_ENST00000356948;ENSP00000408096_ENSG00000011304_ENST00000394601;ENSP00000014112_ENSG00000011304_ENST00000349038;ENSP00000465652_ENSG00000011304_ENST00000589575;ENSP00000466250_ENSG00000011304_ENST00000585535;ENSP00000468565_ENSG00000011304_ENST00000586481,557,NaN
ENSP00000012443,ENSG00000011485,ENST00000012443,,546040,0.01,0.17,0.23,30639.27856,0.01,ENSP00000012443_ENSG00000011485_ENST00000012443,499,499
ENSP00000085219,ENSG00000012124,ENST00000085219,,6843800,0.00,0.14,0.18,258559.6222,0.00,ENSP00000085219_ENSG00000012124_ENST00000085219;ENSP00000403822_ENSG00000012124_ENST00000419549;ENSP00000270311_ENSG00000012124_ENST00000270311;ENSP00000442279_ENSG00000012124_ENST00000536635;ENSP00000441237_ENSG00000012124_ENST00000544992;ENSP00000339349_ENSG00000012124_ENST00000341773;ENSP00000469984_ENSG00000012124_ENST00000594250;ENSP00000473221_ENSG00000012124_ENST00000594125,847,NaN
ENSP00000157812,ENSG00000013275,ENST00000157812,,8185700,0.05,0.70,1.34,489569.378,0.03,ENSP00000157812_ENSG00000013275_ENST00000157812;ENSP00000413869_ENSG00000013275_ENST00000455878,418,NaN
ENSP00000349977,ENSG00000013364,ENST00000357402,,8280000,0.02,0.25,0.37,398701.0078,0.01,ENSP00000349977_ENSG00000013364_ENST00000357402;ENSP00000378760_ENSG00000013364_ENST00000395353,893,NaN
ENSP00000358283,ENSG00000014123,ENST00000369278,,256000,0.00,0.06,0.08,15153.65239,0.00,ENSP00000358283_ENSG00000014123_ENST00000369278,794,794
ENSP00000279247,ENSG00000014216,ENST00000279247,,7332500,0.05,0.65,1.07,369705.8824,0.03,ENSP00000279247_ENSG00000014216_ENST00000279247;ENSP00000431686_ENSG00000014216_ENST00000533129;ENSP00000431984_ENSG00000014216_ENST00000527323;ENSP00000434176_ENSG00000014216_ENST00000524773;ENSP00000435272_ENSG00000014216_ENST00000533820,714,NaN
ENSP00000438144,ENSG00000014641,ENST00000539945,,137610000,0.35,3.99,9.15,6255113.636,0.15,ENSP00000438144_ENSG00000014641_ENST00000539945;ENSP00000233114_ENSG00000014641_ENST00000233114;ENSP00000377945_ENSG00000014641_ENST00000394423;ENSP00000446395_ENSG00000014641_ENST00000544381;ENSP00000386719_ENSG00000014641_ENST00000409476;ENSP00000410073_ENSG00000014641_ENST00000432309;ENSP00000386743_ENSG00000014641_ENST00000409908,352,NaN
ENSP00000365891,ENSG00000015285,ENST00000376701,,16363000,0.02,0.64,0.85,717091.6335,0.02,ENSP00000365891_ENSG00000015285_ENST00000376701;ENSP00000469374_ENSG00000267912_ENST00000599235,502,NaN
ENSP00000318822,ENSG00000015475,ENST00000317361,,6401200,0.04,0.61,0.92,318730.2905,0.02,ENSP00000318822_ENSG00000015475_ENST00000317361;ENSP00000382674_ENSG00000015475_ENST00000399774;ENSP00000449236_ENSG00000015475_ENST00000551952,241,NaN
ENSP00000378279,ENSG00000015479,ENST00000394800,,124390000,0.19,2.26,5.10,5420558.659,0.08,ENSP00000378279_ENSG00000015479_ENST00000394800;ENSP00000422319_ENSG00000015479_ENST00000502929;ENSP00000354346_ENSG00000015479_ENST00000361059;ENSP00000378284_ENSG00000015479_ENST00000394805;ENSP00000423533_ENSG00000015479_ENST00000509990;ENSP00000426743_ENSG00000015479_ENST00000510056;ENSP00000423290_ENSG00000015479_ENST00000504045,895,NaN
ENSP00000347626,ENSG00000015676,ENST00000355451,,172300,0.01,0.06,0.11,10500,0.00,ENSP00000347626_ENSG00000015676_ENST00000355451,361,361
ENSP00000264167,ENSG00000018510,ENST00000264167,,291830,0.00,0.04,0.04,15522.79635,0.00,ENSP00000264167_ENSG00000018510_ENST00000264167,658,658
ENSP00000230685,ENSG00000019582,ENST00000353334,,5476500,0.04,0.66,0.99,283267.2414,0.03,ENSP00000230685_ENSG00000019582_ENST00000353334;ENSP00000430614_ENSG00000019582_ENST00000518797;ENSP00000009530_ENSG00000019582_ENST00000009530;ENSP00000367026_ENSG00000019582_ENST00000377795;ENSP00000429024_ENSG00000019582_ENST00000524315;ENSP00000430654_ENSG00000019582_ENST00000523208;ENSP00000429641_ENSG00000019582_ENST00000522246,232,NaN
ENSP00000308051,ENSG00000020633,ENST00000308873,,3374900,0.01,0.36,0.45,113853.012,0.01,ENSP00000308051_ENSG00000020633_ENST00000308873;ENSP00000343477_ENSG00000020633_ENST00000338888;ENSP00000382800_ENSG00000020633_ENST00000399916,415,NaN
ENSP00000346402,ENSG00000023191,ENST00000354420,,25469000,0.10,2.70,4.09,1436442.516,0.07,ENSP00000346402_ENSG00000023191_ENST00000354420;ENSP00000348515_ENSG00000023191_ENST00000356187;ENSP00000380729_ENSG00000023191_ENST00000397604;ENSP00000380738_ENSG00000023191_ENST00000397614;ENSP00000380739_ENSG00000023191_ENST00000397615;ENSP00000416589_ENSG00000023191_ENST00000438658;ENSP00000433999_ENSG00000023191_ENST00000534797;ENSP00000435594_ENSG00000023191_ENST00000533410;ENSP00000435748_ENSG00000023191_ENST00000527485;ENSP00000435057_ENSG00000023191_ENST00000529368;ENSP00000434947_ENSG00000023191_ENST00000529306,461,NaN
ENSP00000392709,ENSG00000023228,ENST00000455934,,5431700,0.03,0.42,0.66,307867.7463,0.02,ENSP00000392709_ENSG00000023228_ENST00000455934;ENSP00000233190_ENSG00000023228_ENST00000233190;ENSP00000399912_ENSG00000023228_ENST00000449699;ENSP00000409766_ENSG00000023228_ENST00000440274;ENSP00000397760_ENSG00000023228_ENST00000423725;ENSP00000409689_ENSG00000023228_ENST00000432169;ENSP00000400976_ENSG00000023228_ENST00000457011,741,NaN
ENSP00000262455,ENSG00000023318,ENST00000262455,,74479000,0.18,2.58,5.30,3668965.517,0.09,ENSP00000262455_ENSG00000023318_ENST00000262455,406,406
ENSP00000025399,ENSG00000023734,ENST00000025399,,2176400,0.02,0.22,0.39,137900.8264,0.01,ENSP00000025399_ENSG00000023734_ENST00000025399;ENSP00000392270_ENSG00000023734_ENST00000419869,363,NaN
ENSP00000319831,ENSG00000023892,ENST00000316637,,445050,0.01,0.12,0.16,22568.93819,0.00,ENSP00000319831_ENSG00000023892_ENST00000316637;ENSP00000442166_ENSG00000023892_ENST00000542066,631,NaN
ENSP00000252029,ENSG00000025708,ENST00000252029,,18213000,0.10,1.58,2.73,906887.9668,0.06,ENSP00000252029_ENSG00000025708_ENST00000252029;ENSP00000379036_ENSG00000025708_ENST00000395678;ENSP00000379037_ENSG00000025708_ENST00000395680;ENSP00000379038_ENSG00000025708_ENST00000395681;ENSP00000395875_ENSG00000025708_ENST00000425169,482,NaN
ENSP00000362728,ENSG00000025800,ENST00000373625,,233500,0.01,0.23,0.45,10019.40299,0.01,ENSP00000362728_ENSG00000025800_ENST00000373625;ENSP00000474234_ENSG00000025800_ENST00000471599,536,NaN
ENSP00000224237,ENSG00000026025,ENST00000224237,,91846000,0.39,3.78,7.06,6701287.554,0.21,ENSP00000224237_ENSG00000026025_ENST00000224237;ENSP00000446007_ENSG00000026025_ENST00000544301;ENSP00000435613_ENSG00000026025_ENST00000487938,466,NaN
ENSP00000347979,ENSG00000026103,ENST00000355740,,4156000,0.02,0.27,0.40,248119.403,0.01,ENSP00000347979_ENSG00000026103_ENST00000355740;ENSP00000349896_ENSG00000026103_ENST00000357339;ENSP00000345601_ENSG00000026103_ENST00000352159;ENSP00000347426_ENSG00000026103_ENST00000355279;ENSP00000423755_ENSG00000026103_ENST00000494410;ENSP00000425159_ENSG00000026103_ENST00000488877;ENSP00000422453_ENSG00000026103_ENST00000492756,335,NaN
ENSP00000422846,ENSG00000026297,ENST00000476238,,18985000,0.07,0.82,1.39,1038242.188,0.04,ENSP00000422846_ENSG00000026297_ENST00000476238;ENSP00000426455_ENSG00000026297_ENST00000508775;ENSP00000426059_ENSG00000026297_ENST00000478180;ENSP00000424947_ENSG00000026297_ENST00000366855;ENSP00000426906_ENSG00000249141_ENST00000507747,256,NaN
ENSP00000398632,ENSG00000026508,ENST00000428726,,16459000,0.05,0.87,1.95,598935.31,0.02,ENSP00000398632_ENSG00000026508_ENST00000428726;ENSP00000414567_ENSG00000026508_ENST00000433354;ENSP00000389830_ENSG00000026508_ENST00000415148;ENSP00000391008_ENSG00000026508_ENST00000449691;ENSP00000403990_ENSG00000026508_ENST00000437706;ENSP00000392331_ENSG00000026508_ENST00000433892;ENSP00000404447_ENSG00000026508_ENST00000434472;ENSP00000353280_ENSG00000026508_ENST00000360158;ENSP00000263398_ENSG00000026508_ENST00000263398;ENSP00000309732_ENSG00000026508_ENST00000352818;ENSP00000432704_ENSG00000026508_ENST00000526669;ENSP00000398099_ENSG00000026508_ENST00000442151;ENSP00000279452_ENSG00000026508_ENST00000279452;ENSP00000432405_ENSG00000026508_ENST00000525211;ENSP00000434465_ENSG00000026508_ENST00000526000;ENSP00000432718_ENSG00000026508_ENST00000528455;ENSP00000434530_ENSG00000026508_ENST00000527889;ENSP00000435377_ENSG00000026508_ENST00000526025,742,NaN
ENSP00000357022,ENSG00000026751,ENST00000368043,,815330,0.01,0.24,0.24,34074.62687,0.01,ENSP00000357022_ENSG00000026751_ENST00000368043;ENSP00000357021_ENSG00000026751_ENST00000368042;ENSP00000409965_ENSG00000026751_ENST00000458602;ENSP00000352281_ENSG00000026751_ENST00000359331;ENSP00000473590_ENSG00000026751_ENST00000495334;ENSP00000405605_ENSG00000026751_ENST00000441662;ENSP00000403294_ENSG00000026751_ENST00000458104,335,NaN
ENSP00000261889,ENSG00000028528,ENST00000261889,,2211000,0.01,0.12,0.16,107177.7379,0.01,ENSP00000261889_ENSG00000028528_ENST00000261889;ENSP00000453785_ENSG00000028528_ENST00000559844;ENSP00000326668_ENSG00000028528_ENST00000353874;ENSP00000453567_ENSG00000028528_ENST00000561026;ENSP00000452651_ENSG00000028528_ENST00000560829,557,NaN
ENSP00000435210,ENSG00000029363,ENST00000531224,,676750,0.01,0.17,0.25,25745.65217,0.01,ENSP00000435210_ENSG00000029363_ENST00000531224;ENSP00000434826_ENSG00000029363_ENST00000527759;ENSP00000436501_ENSG00000029363_ENST00000530767;ENSP00000437018_ENSG00000029363_ENST00000534762;ENSP00000031135_ENSG00000029363_ENST00000031135,920,NaN
ENSP00000336887,ENSG00000029364,ENST00000336643,,615150,0.00,0.45,0.45,10018.89251,0.00,ENSP00000336887_ENSG00000029364_ENST00000336643;ENSP00000450639_ENSG00000029364_ENST00000555840;ENSP00000451833_ENSG00000029364_ENST00000557046;ENSP00000468864_ENSG00000029364_ENST00000031146,307,NaN
ENSP00000262477,ENSG00000029725,ENST00000262477,,161470,0.01,0.09,0.15,10302.5522,0.00,ENSP00000262477_ENSG00000029725_ENST00000262477;ENSP00000437701_ENSG00000029725_ENST00000546142;ENSP00000339569_ENSG00000029725_ENST00000341923;ENSP00000386150_ENSG00000029725_ENST00000408982,862,NaN
ENSP00000359393,ENSG00000029993,ENST00000325307,,8482400,0.06,0.76,1.51,254475,0.03,ENSP00000359393_ENSG00000029993_ENST00000325307;ENSP00000442758_ENSG00000029993_ENST00000448905;ENSP00000472199_ENSG00000269411_ENST00000593327;ENSP00000472961_ENSG00000269411_ENST00000595259;ENSP00000405601_ENSG00000029993_ENST00000455596;ENSP00000469875_ENSG00000269411_ENST00000600124;ENSP00000410354_ENSG00000029993_ENST00000419110;ENSP00000471456_ENSG00000269411_ENST00000594285;ENSP00000417027_ENSG00000029993_ENST00000430118;ENSP00000469284_ENSG00000269411_ENST00000596539,200,NaN
ENSP00000053867,ENSG00000030582,ENST00000053867,,44306,0.00,0.08,0.15,1643.726813,0.00,ENSP00000053867_ENSG00000030582_ENST00000053867;ENSP00000465673_ENSG00000030582_ENST00000586443,593,NaN
ENSP00000358939,ENSG00000031698,ENST00000369923,,8361500,0.06,0.86,1.30,452388.0597,0.04,ENSP00000358939_ENSG00000031698_ENST00000369923;ENSP00000234677_ENSG00000031698_ENST00000234677,536,NaN
ENSP00000341483,ENSG00000031823,ENST00000340578,,1733300,0.00,0.05,0.10,70310.40564,0.00,ENSP00000341483_ENSG00000031823_ENST00000340578;ENSP00000404837_ENSG00000031823_ENST00000439268;ENSP00000034275_ENSG00000031823_ENST00000034275;ENSP00000465085_ENSG00000031823_ENST00000591092;ENSP00000465336_ENSG00000031823_ENST00000587159;ENSP00000467560_ENSG00000031823_ENST00000587263;ENSP00000466879_ENSG00000031823_ENST00000592771;ENSP00000464705_ENSG00000031823_ENST00000588010;ENSP00000466970_ENSG00000031823_ENST00000587463,567,NaN
ENSP00000381652,ENSG00000032389,ENST00000398659,,183350,0.00,0.10,0.10,7528.985507,0.00,ENSP00000381652_ENSG00000032389_ENST00000398659;ENSP00000371559_ENSG00000032389_ENST00000382125;ENSP00000389080_ENSG00000032389_ENST00000443925;ENSP00000400214_ENSG00000032389_ENST00000444776;ENSP00000403043_ENSG00000032389_ENST00000435721;ENSP00000385756_ENSG00000032389_ENST00000406835;ENSP00000389228_ENSG00000032389_ENST00000455162,414,NaN
ENSP00000337313,ENSG00000033030,ENST00000336229,,330130,0.00,0.03,0.03,15875.53041,0.00,ENSP00000337313_ENSG00000033030_ENST00000336229;ENSP00000438993_ENSG00000033030_ENST00000543897;ENSP00000441423_ENSG00000033030_ENST00000536306;ENSP00000440028_ENSG00000033030_ENST00000538116,707,NaN
ENSP00000313454,ENSG00000033178,ENST00000322244,,2857200,0.01,0.22,0.34,152100.7605,0.01,ENSP00000313454_ENSG00000033178_ENST00000322244,1052,NaN
ENSP00000345083,ENSG00000034152,ENST00000342679,,273220,0.03,0.47,0.73,18896.82997,0.02,ENSP00000345083_ENSG00000034152_ENST00000342679;ENSP00000464043_ENSG00000034152_ENST00000496046;ENSP00000468348_ENSG00000108984_ENST00000590474;ENSP00000319139_ENSG00000034152_ENST00000316920;ENSP00000355081_ENSG00000034152_ENST00000361818;ENSP00000467213_ENSG00000108984_ENST00000589647;ENSP00000434068_ENSG00000034152_ENST00000526076;ENSP00000464916_ENSG00000108984_ENST00000588110;ENSP00000431203_ENSG00000034152_ENST00000529517;ENSP00000466143_ENSG00000108984_ENST00000589295;ENSP00000378869_ENSG00000034152_ENST00000395491;ENSP00000463202_ENSG00000034152_ENST00000483928;ENSP00000463417_ENSG00000034152_ENST00000479129,347,NaN
ENSP00000233143,ENSG00000034510,ENST00000233143,,2261000000,3.55,23.45,98.86,102770454.5,0.84,ENSP00000233143_ENSG00000034510_ENST00000233143,44,44
ENSP00000397269,ENSG00000035141,ENST00000430566,,9006300,0.04,1.19,1.98,551387.7551,0.02,ENSP00000397269_ENSG00000035141_ENST00000430566;ENSP00000037869_ENSG00000035141_ENST00000037869;ENSP00000390840_ENSG00000035141_ENST00000438759;ENSP00000391468_ENSG00000035141_ENST00000450256,245,NaN
ENSP00000211998,ENSG00000035403,ENST00000211998,,5353200,0.03,0.36,0.58,354047.619,0.02,ENSP00000211998_ENSG00000035403_ENST00000211998;ENSP00000361841_ENSG00000035403_ENST00000372755;ENSP00000411887_ENSG00000035403_ENST00000417648,1134,NaN
ENSP00000415489,ENSG00000035403,ENST00000436396,,276950,0.02,0.18,0.23,18210.91811,0.01,ENSP00000415489_ENSG00000035403_ENST00000436396,806,806
ENSP00000355493,ENSG00000035687,ENST00000366535,,8168800,0.04,0.52,0.89,358289.4737,0.02,ENSP00000355493_ENSG00000035687_ENST00000366535,456,456
ENSP00000264414,ENSG00000036257,ENST00000264414,,2427700,0.01,0.15,0.25,139088.5417,0.01,ENSP00000264414_ENSG00000036257_ENST00000264414;ENSP00000386525_ENSG00000036257_ENST00000409777;ENSP00000387200_ENSG00000036257_ENST00000409096;ENSP00000343601_ENSG00000036257_ENST00000344951,768,NaN
ENSP00000264670,ENSG00000037474,ENST00000264670,,4587300,0.02,0.41,0.56,263155.1499,0.02,ENSP00000264670_ENSG00000037474_ENST00000264670;ENSP00000420957_ENSG00000037474_ENST00000506139;ENSP00000444338_ENSG00000037474_ENST00000539938,767,NaN
ENSP00000325425,ENSG00000038274,ENST00000321757,,982790,0.01,0.13,0.13,55907.18563,0.01,ENSP00000325425_ENSG00000038274_ENST00000321757;ENSP00000280969_ENSG00000038274_ENST00000280969,334,NaN
ENSP00000230640,ENSG00000039123,ENST00000230640,,317120,0.00,0.05,0.05,17651.63148,0.00,ENSP00000230640_ENSG00000039123_ENST00000230640;ENSP00000422125_ENSG00000039123_ENST00000505565,1042,NaN
ENSP00000044462,ENSG00000041357,ENST00000044462,,35353000,0.07,1.31,2.36,1760881.226,0.04,ENSP00000044462_ENSG00000041357_ENST00000044462;ENSP00000453887_ENSG00000041357_ENST00000559082;ENSP00000453080_ENSG00000041357_ENST00000560737;ENSP00000453802_ENSG00000041357_ENST00000559365;ENSP00000453523_ENSG00000041357_ENST00000559437;ENSP00000453621_ENSG00000041357_ENST00000559146;ENSP00000453145_ENSG00000041357_ENST00000558281;ENSP00000453323_ENSG00000041357_ENST00000558341;ENSP00000453829_ENSG00000041357_ENST00000560217;ENSP00000452936_ENSG00000041357_ENST00000559948,261,NaN
ENSP00000263867,ENSG00000042493,ENST00000263867,,4970700,0.02,0.52,0.84,199971.2644,0.01,ENSP00000263867_ENSG00000042493_ENST00000263867;ENSP00000386315_ENSG00000042493_ENST00000409670;ENSP00000386965_ENSG00000042493_ENST00000409724;ENSP00000387063_ENSG00000042493_ENST00000409921;ENSP00000391923_ENSG00000042493_ENST00000439385;ENSP00000398232_ENSG00000042493_ENST00000447219;ENSP00000403330_ENSG00000042493_ENST00000449030;ENSP00000386596_ENSG00000042493_ENST00000409275,348,NaN
ENSP00000324173,ENSG00000044574,ENST00000324460,,481540000,0.83,6.29,15.76,22088685.02,0.33,ENSP00000324173_ENSG00000044574_ENST00000324460,654,654
ENSP00000352522,ENSG00000047249,ENST00000359530,,1347100,0.01,0.22,0.27,69726.70807,0.01,ENSP00000352522_ENSG00000047249_ENST00000359530;ENSP00000379995_ENSG00000047249_ENST00000396774;ENSP00000347359_ENSG00000047249_ENST00000355221;ENSP00000429947_ENSG00000047249_ENST00000520188,483,NaN
ENSP00000356448,ENSG00000047410,ENST00000367478,,4140100,0.02,0.23,0.37,189221.3288,0.01,ENSP00000356448_ENSG00000047410_ENST00000367478,2363,2363
ENSP00000407602,ENSG00000047849,ENST00000426837,,2673900,0.02,0.45,0.77,144344.7976,0.01,ENSP00000407602_ENSG00000047849_ENST00000426837;ENSP00000353375_ENSG00000047849_ENST00000360240;ENSP00000379083_ENSG00000047849_ENST00000395734,2297,NaN
