# species: Homo sapiens
# support: EXP, IMP, ISS, ISM, TAS, IEA, IBA, IRD, IDA, IGI, ISO, IGC, NAS, IBD, IPI, IEP, ISA, RCA, IC, IKR
# associations retrieved on: 2014-05-23 08:11:13-04
# gofunc built on: 2013-10-27 21:51:15.890197-04
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.goa_human.gz
#   revision: 0
#   downloaded on: 2013-10-27 16:13:44-04
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201310-assocdb-tables.tar.gz
#   downloaded on: 2013-10-17 16:47:31-04
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2012-02-05 16:36:50.758813-05
#     synergizer db built from: Ensembl Genes 65 / Ensembl Metazoa Genes 12 / Ensembl Plants Genes 10
#   namespace: ensembl_gene_id
#   coverage: 99.6%
# size of "genespace": 9651
# number of attributes: 14476
# NOTE: these associations have been restricted to the genes included
# in the user-supplied gene space.
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
# Original number of entities in query: 699
# Number of entities in query: 699
# Total number of entities: 9651
# Total number of attributes: 14476
# Original total number of attributes: 17521
# Translation required: yes
# Translation coverage: 0.995851
# Mode: ordered
# Number of simulations: 1000
# Adjusted P-value cutoff: 0.05
# Over/under: over
# Evidence codes: EXP, IMP, ISS, ISM, TAS, IEA, IBA, IRD, IDA, IGI, ISO, IGC, NAS, IBD, IPI, IEP, ISA, RCA, IC, IKR
OVERREPRESENTED ATTRIBUTES
N	M	X	LOD	P	P_adj	attrib ID	attrib name
9	636	14	1.39449607664456	3.29259036439489e-08	0	GO:0004714	transmembrane receptor protein tyrosine kinase activity
7	617	11	1.39187487829673	1.11048756965863e-06	0.032	GO:0004364	glutathione transferase activity
7	290	17	1.37220017928875	3.09103648530916e-07	0.008	GO:0007528	neuromuscular junction development
7	42	102	1.323215509206	2.38386890869474e-07	0.008	GO:0002449	lymphocyte mediated immunity
8	682	13	1.31260035376826	5.59188211225948e-07	0.014	GO:0035272	exocrine system development
7	42	108	1.29647887891503	3.53106173665126e-07	0.008	GO:0006909	phagocytosis
9	431	19	1.29499079982351	4.03207224101735e-08	0	GO:0019199	transmembrane receptor protein kinase activity
13	290	40	1.2178291472462	7.24532319681547e-11	0	GO:0050808	synapse organization
8	200	34	1.19604671569475	3.38089437440592e-07	0.008	GO:0022407	regulation of cell-cell adhesion
11	240	43	1.16021147723781	5.10006439152271e-09	0	GO:0004866	endopeptidase inhibitor activity
11	240	43	1.16021147723781	5.10006439152271e-09	0	GO:0030414	peptidase inhibitor activity
11	176	59	1.13055464471727	7.10830702068865e-09	0	GO:0016323	basolateral plasma membrane
10	641	21	1.11433648512285	2.81325443475786e-07	0.008	GO:0005604	basement membrane
11	240	47	1.10961672417834	1.41466404887991e-08	0	GO:0061135	endopeptidase regulator activity
10	254	41	1.10617721927754	7.30295912549579e-08	0	GO:0008217	regulation of blood pressure
9	603	20	1.09892221628311	1.23201195655455e-06	0.038	GO:0001653	peptide receptor activity
9	603	20	1.09892221628311	1.23201195655455e-06	0.038	GO:0008528	G-protein coupled peptide receptor activity
13	646	28	1.09203929647615	7.05295902017101e-09	0	GO:0044420	extracellular matrix part
11	601	25	1.08411018909841	9.96590042169845e-08	0	GO:0055117	regulation of cardiac muscle contraction
14	153	97	1.06895070684815	3.13979632643777e-10	0	GO:0045177	apical part of cell
10	620	23	1.06030417190966	5.93320858058419e-07	0.016	GO:1901888	regulation of cell junction assembly
11	601	26	1.05509843047138	1.6308659320331e-07	0.005	GO:0006942	regulation of striated muscle contraction
10	680	23	1.01669204641349	1.39141299339722e-06	0.046	GO:0050729	positive regulation of inflammatory response
10	682	23	1.01530157213795	1.42943821700512e-06	0.049	GO:0014068	positive regulation of phosphatidylinositol 3-kinase cascade
10	569	26	1.01334492987837	1.05384682104329e-06	0.028	GO:0007045	cell-substrate adherens junction assembly
10	569	26	1.01334492987837	1.05384682104329e-06	0.028	GO:0048041	focal adhesion assembly
21	646	51	1.00496995779447	2.70129061395233e-12	0	GO:0005578	proteinaceous extracellular matrix
11	603	29	0.97654955422973	6.35725842351744e-07	0.016	GO:0004896	cytokine receptor activity
17	84	275	0.970200084694279	1.51162203585723e-10	0	GO:0043005	neuron projection
18	607	49	0.953270828251225	3.40271264631031e-10	0	GO:0006959	humoral immune response
16	200	110	0.947215600996024	8.00862513404169e-10	0	GO:0016337	cell-cell adhesion
12	296	58	0.944301145655983	1.39917159369587e-07	0.002	GO:0016064	immunoglobulin mediated immune response
11	240	64	0.942767613145148	4.15875672354464e-07	0.011	GO:0061134	peptidase regulator activity
12	296	59	0.93501383573788	1.70881435763408e-07	0.005	GO:0019724	B cell mediated immunity
21	646	57	0.92668651563396	3.43089849639923e-11	0	GO:0031012	extracellular matrix
13	653	35	0.924739151524425	2.03476832186998e-07	0.006	GO:0070374	positive regulation of ERK1 and ERK2 cascade
15	569	45	0.918898841827376	1.99174297568105e-08	0	GO:0034332	adherens junction organization
15	601	44	0.907520419198533	2.92822153758779e-08	0	GO:0006937	regulation of muscle contraction
11	169	96	0.901714793457519	8.34730673614404e-07	0.022	GO:0030424	axon
26	605	80	0.877676377851099	9.78769441611542e-13	0	GO:0009897	external side of plasma membrane
18	614	55	0.871796648909293	3.56342423025453e-09	0	GO:0030595	leukocyte chemotaxis
12	449	47	0.867954521227271	1.04939784973865e-06	0.028	GO:1901681	sulfur compound binding
14	495	51	0.864711470717918	1.62476817956786e-07	0.005	GO:0043296	apical junction complex
29	427	121	0.863841638390954	3.61679064285741e-14	0	GO:0008015	blood circulation
29	427	122	0.85912420282401	4.5540570000409e-14	0	GO:0003013	circulatory system process
25	569	84	0.851400353283797	6.31459632042102e-12	0	GO:0045216	cell-cell junction organization
13	680	38	0.850995484292655	9.80507063610309e-07	0.027	GO:0050707	regulation of cytokine secretion
15	680	44	0.848820571202442	1.50548705030448e-07	0.005	GO:0050663	cytokine secretion
22	614	70	0.847487961579124	1.56771360056473e-10	0	GO:0060326	cell chemotaxis
12	289	72	0.840491329590464	1.27596548756989e-06	0.039	GO:0031644	regulation of neurological system process
14	398	65	0.828570255175038	2.92191495526195e-07	0.008	GO:0007204	elevation of cytosolic calcium ion concentration
18	682	55	0.821618500271022	1.86222605586125e-08	0	GO:0090257	regulation of muscle system process
28	653	89	0.820958485012792	2.10503578811478e-12	0	GO:0030198	extracellular matrix organization
28	653	89	0.820958485012792	2.10503578811478e-12	0	GO:0043062	extracellular structure organization
24	84	582	0.815088221878084	7.04507179736005e-11	0	GO:0042995	cell projection
13	274	87	0.809352164509304	9.16659894411968e-07	0.025	GO:0015833	peptide transport
15	400	72	0.808167588230031	1.86711992332098e-07	0.006	GO:0055002	striated muscle cell development
13	274	89	0.797753630540727	1.19721821073993e-06	0.036	GO:0042886	amide transport
14	248	106	0.794103070048019	4.88602566309079e-07	0.013	GO:0044456	synapse part
15	665	49	0.791209631883353	5.561562291732e-07	0.014	GO:0051250	negative regulation of lymphocyte activation
18	665	59	0.789488478986045	4.34139185451582e-08	0	GO:0050866	negative regulation of cell activation
15	400	77	0.771719180538265	4.71430580234905e-07	0.013	GO:0055001	muscle cell development
16	682	53	0.770625547610787	4.06997201154066e-07	0.011	GO:0070372	regulation of ERK1 and ERK2 cascade
25	620	90	0.768040067442959	2.14528788377595e-10	0	GO:0034329	cell junction assembly
17	665	58	0.764684591602517	1.98073569387224e-07	0.006	GO:0002695	negative regulation of leukocyte activation
15	637	53	0.763838648115504	9.88893566162878e-07	0.027	GO:0060333	interferon-gamma-mediated signaling pathway
18	569	70	0.761178705182121	7.38551834305999e-08	0	GO:0007160	cell-matrix adhesion
16	486	71	0.760173545787466	3.27666923607238e-07	0.008	GO:0030674	protein binding, bridging
20	248	165	0.756545294233316	7.3538039268726e-09	0	GO:0045202	synapse
16	656	56	0.755599625141439	5.5475362291294e-07	0.014	GO:0004930	G-protein coupled receptor activity
31	620	115	0.752671742470842	3.38226291291372e-12	0	GO:0005911	cell-cell junction
17	486	77	0.748950876138018	1.92720081048618e-07	0.006	GO:0060090	binding, bridging
25	569	101	0.74143691454312	5.11001929628876e-10	0	GO:0034330	cell junction organization
44	680	156	0.740818293021405	4.175576414463e-16	0	GO:0004888	transmembrane signaling receptor activity
15	248	128	0.735088039403015	9.14938465778794e-07	0.025	GO:0044708	single-organism behavior
15	274	118	0.728544491747435	1.12357660580308e-06	0.033	GO:0003001	generation of a signal involved in cell-cell signaling
15	274	118	0.728544491747435	1.12357660580308e-06	0.033	GO:0023061	signal release
17	637	64	0.726274038574684	5.11336039597752e-07	0.014	GO:0071346	cellular response to interferon-gamma
16	302	119	0.711396342117934	8.31699910954183e-07	0.022	GO:0030168	platelet activation
26	186	322	0.708091794341097	4.75815679789202e-10	0	GO:0097458	neuron part
44	605	183	0.704191873796892	3.40486943217567e-15	0	GO:0009986	cell surface
18	662	69	0.697406222152869	5.6236524428381e-07	0.014	GO:0051480	cytosolic calcium ion homeostasis
52	680	200	0.695768457757471	3.78171557521944e-17	0	GO:0038023	signaling receptor activity
19	682	72	0.690034316048686	3.55838898482221e-07	0.008	GO:0001763	morphogenesis of a branching structure
18	416	105	0.686085242061952	4.60589847518994e-07	0.012	GO:0043269	regulation of ion transport
23	609	97	0.683363385547727	2.24383553226486e-08	0	GO:0031589	cell-substrate adhesion
19	636	78	0.677019013939726	4.68528373119699e-07	0.012	GO:0004713	protein tyrosine kinase activity
18	682	70	0.674760557728698	1.09528365249967e-06	0.029	GO:0061138	morphogenesis of a branching epithelium
19	692	74	0.667013566428455	7.06946757788376e-07	0.017	GO:0005516	calmodulin binding
39	682	156	0.665076613208448	1.58121949164126e-12	0	GO:0044057	regulation of system process
63	687	257	0.66134602981306	6.4857374019398e-19	0	GO:0044421	extracellular region part
28	614	124	0.653459911098328	2.60288777025755e-09	0	GO:0050900	leukocyte migration
43	687	175	0.653134103099272	2.7037855312605e-13	0	GO:0005615	extracellular space
22	559	106	0.649599823455928	1.26239192008334e-07	0.001	GO:0070161	anchoring junction
19	296	164	0.648191837472213	6.00437933341315e-07	0.016	GO:0038093	Fc receptor signaling pathway
21	559	102	0.644892230580882	2.81890733706006e-07	0.008	GO:0005912	adherens junction
37	693	151	0.644664336896504	1.82939705389802e-11	0	GO:0002429	immune response-activating cell surface receptor signaling pathway
19	261	187	0.643571627115719	6.72453919419027e-07	0.017	GO:0007610	behavior
105	687	468	0.632026308416455	8.96376141441587e-28	0	GO:0005576	extracellular region
26	693	108	0.63058241275939	2.81828085221263e-08	0	GO:0055074	calcium ion homeostasis
25	693	104	0.629460151751488	5.37848021289943e-08	0	GO:0006874	cellular calcium ion homeostasis
26	398	178	0.627962726593917	1.62420303785828e-08	0	GO:0006873	cellular ion homeostasis
23	693	96	0.627063612210601	1.95761673573703e-07	0.006	GO:0050851	antigen receptor-mediated signaling pathway
21	682	90	0.619338211327956	8.16943507688403e-07	0.02	GO:0018108	peptidyl-tyrosine phosphorylation
20	680	86	0.618717701783844	1.50595379491655e-06	0.05	GO:0050727	regulation of inflammatory response
25	398	175	0.615921470898824	4.84868973053253e-08	0	GO:0030003	cellular cation homeostasis
63	657	291	0.612561899073921	5.2369583559691e-17	0	GO:0004872	receptor activity
28	657	126	0.611632078156033	1.69276535595487e-08	0	GO:0002250	adaptive immune response
22	684	96	0.607913072154869	6.56605510134367e-07	0.017	GO:0072001	renal system development
21	682	92	0.60691937436785	1.20302826410198e-06	0.037	GO:0018212	peptidyl-tyrosine modification
66	614	329	0.606086772152301	1.65431026252291e-17	0	GO:0007155	cell adhesion
66	614	330	0.604392217440174	1.94876366745534e-17	0	GO:0022610	biological adhesion
27	635	127	0.603100463415522	4.03282841661558e-08	0	GO:0002443	leukocyte mediated immunity
22	665	100	0.598568894458407	8.57470564314345e-07	0.022	GO:0002683	negative regulation of immune system process
130	669	647	0.597361322575399	1.19651636208897e-30	0	GO:0044459	plasma membrane part
45	682	204	0.595771075684523	3.42503872049511e-12	0	GO:0050865	regulation of cell activation
26	693	115	0.59487070663907	1.10621250320745e-07	0.001	GO:0072507	divalent inorganic cation homeostasis
25	693	111	0.592468669390768	2.09940581453337e-07	0.007	GO:0072503	cellular divalent inorganic cation homeostasis
22	398	162	0.588426411247125	7.65275230201344e-07	0.018	GO:0006875	cellular metal ion homeostasis
42	682	195	0.58105762800479	4.16651578668023e-11	0	GO:0002694	regulation of leukocyte activation
24	657	114	0.580380424187487	5.18872641333023e-07	0.014	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
24	684	111	0.575722627999982	6.42609438084777e-07	0.017	GO:0001655	urogenital system development
33	620	168	0.573316823971663	5.62683286335834e-09	0	GO:0007186	G-protein coupled receptor signaling pathway
26	398	199	0.570929880482641	1.63779574817649e-07	0.005	GO:0055080	cation homeostasis
36	680	170	0.570677085233582	1.59482235072458e-09	0	GO:0032101	regulation of response to external stimulus
48	693	225	0.570215840273598	4.17928478977471e-12	0	GO:0002768	immune response-regulating cell surface receptor signaling pathway
41	623	211	0.56838797319405	1.26037623190248e-10	0	GO:0005509	calcium ion binding
25	609	130	0.567719260111522	4.40797334285382e-07	0.011	GO:0030155	regulation of cell adhesion
50	559	287	0.567696663205969	1.29215892594693e-12	0	GO:0030054	cell junction
31	657	152	0.564908154164292	2.50955923841457e-08	0	GO:0009617	response to bacterium
37	682	177	0.562394807778943	1.49746337326934e-09	0	GO:0051249	regulation of lymphocyte activation
48	684	231	0.56202430919664	7.11478786737572e-12	0	GO:0051050	positive regulation of transport
30	682	144	0.558126924051199	5.87749967840618e-08	0	GO:0043410	positive regulation of MAPK cascade
70	657	359	0.557326397837854	3.07010774849089e-16	0	GO:0031226	intrinsic to plasma membrane
68	657	349	0.555920998405863	8.80023495694737e-16	0	GO:0005887	integral to plasma membrane
32	67	1991	0.55177806552149	5.90485780198231e-07	0.016	GO:0051234	establishment of localization
62	693	304	0.551137054008898	2.35759724831974e-14	0	GO:0050778	positive regulation of immune response
25	696	120	0.546949021758937	1.0890347770467e-06	0.029	GO:0007600	sensory perception
72	663	378	0.540597570735411	6.71737967285965e-16	0	GO:0016477	cell migration
50	693	248	0.539511209737621	1.35140415429018e-11	0	GO:0002757	immune response-activating signal transduction
26	637	137	0.539135308216536	8.08216121795808e-07	0.02	GO:0050867	positive regulation of cell activation
53	693	264	0.538408227384406	3.80674386332757e-12	0	GO:0002253	activation of immune response
27	398	221	0.537558499400731	3.76346709967539e-07	0.008	GO:0050801	ion homeostasis
40	680	202	0.535033783717709	1.59397125264933e-09	0	GO:0006954	inflammatory response
133	697	712	0.533774622103706	3.29589532695368e-26	0	GO:0006955	immune response
31	662	161	0.52973589970148	1.19967060388163e-07	0.001	GO:0051241	negative regulation of multicellular organismal process
42	693	212	0.52666488373639	1.08330549589725e-09	0	GO:0055082	cellular chemical homeostasis
42	653	224	0.526025811733902	1.02815095330398e-09	0	GO:0051270	regulation of cellular component movement
49	693	249	0.525697634594914	5.42364032226265e-11	0	GO:0006935	chemotaxis
49	693	249	0.525697634594914	5.42364032226265e-11	0	GO:0042330	taxis
31	682	158	0.525461017457812	1.49956551575684e-07	0.005	GO:0002009	morphogenesis of an epithelium
26	339	255	0.524478859422775	9.64206104202544e-07	0.025	GO:0006897	endocytosis
76	693	396	0.523634776952666	7.5397995141462e-16	0	GO:0002684	positive regulation of immune system process
60	693	310	0.521144381405767	7.08418586763592e-13	0	GO:0002764	immune response-regulating signaling pathway
84	697	441	0.520138280243621	4.40262796604776e-17	0	GO:0050776	regulation of immune response
76	663	416	0.519477237713395	1.07799166713424e-15	0	GO:0048870	cell motility
76	663	416	0.519477237713395	1.07799166713424e-15	0	GO:0051674	localization of cell
27	312	291	0.519171465996818	7.46945932082647e-07	0.018	GO:0000904	cell morphogenesis involved in differentiation
35	682	181	0.518791845638398	3.46256410691564e-08	0	GO:0030334	regulation of cell migration
60	682	316	0.51872128496877	8.40375621588713e-13	0	GO:0032940	secretion by cell
68	693	356	0.517361582543149	3.63756189865755e-14	0	GO:0046903	secretion
34	680	177	0.516285586137795	6.00961720155739e-08	0	GO:0051046	regulation of secretion
27	682	140	0.515026263241352	1.35578043395629e-06	0.045	GO:0050863	regulation of T cell activation
33	690	170	0.514536459151896	1.02423718069788e-07	0	GO:0031252	cell leading edge
45	653	246	0.51383503912113	5.89318529535993e-10	0	GO:0043408	regulation of MAPK cascade
36	682	189	0.510912167275245	3.31353713752189e-08	0	GO:0048729	tissue morphogenesis
100	696	545	0.507662981426826	4.34303714295522e-19	0	GO:0003008	system process
39	688	208	0.499059390918791	1.7709971018403e-08	0	GO:0001944	vasculature development
68	657	387	0.499030413690714	1.80407353865816e-13	0	GO:0004871	signal transducer activity
68	657	387	0.499030413690714	1.80407353865816e-13	0	GO:0060089	molecular transducer activity
241	696	1544	0.493121056543538	2.08426886408401e-36	0	GO:0071944	cell periphery
37	682	201	0.49272314025283	5.43708484784999e-08	0	GO:2000145	regulation of cell motility
48	655	273	0.492122777830461	6.95954261529172e-10	0	GO:0022603	regulation of anatomical structure morphogenesis
35	653	198	0.491602023310136	1.21674650791903e-07	0.001	GO:0001568	blood vessel development
234	696	1495	0.490324259108529	2.40783159807001e-35	0	GO:0005886	plasma membrane
109	697	620	0.487344521664388	2.87619878062065e-19	0	GO:0002682	regulation of immune system process
38	682	210	0.483807983917015	5.76180702120971e-08	0	GO:0040012	regulation of locomotion
45	692	248	0.48053776235237	4.85843450327695e-09	0	GO:0010740	positive regulation of intracellular protein kinase cascade
95	693	549	0.475054114765824	1.59592496890813e-16	0	GO:0040011	locomotion
37	682	209	0.471705197223216	1.54570669493732e-07	0.005	GO:0042110	T cell activation
115	693	682	0.47015235398451	4.75704819068496e-19	0	GO:0048584	positive regulation of response to stimulus
55	693	312	0.467948972669311	2.91124761691711e-10	0	GO:0048878	chemical homeostasis
58	669	341	0.467700633929333	9.8807293323875e-11	0	GO:0002252	immune effector process
47	653	282	0.464549483955169	5.78059010284144e-09	0	GO:0000165	MAPK cascade
56	669	331	0.464005760698885	2.61408204364616e-10	0	GO:0051707	response to other organism
114	686	690	0.463966762417193	1.5843811919812e-18	0	GO:0006952	defense response
37	551	261	0.459671300699045	2.33069701836291e-07	0.008	GO:0030029	actin filament-based process
101	641	654	0.457794725205179	1.96267333417372e-16	0	GO:0006928	cellular component movement
58	684	342	0.454847328643406	2.66998824629824e-10	0	GO:0009607	response to biotic stimulus
137	688	860	0.453272209653128	1.00478765205551e-20	0	GO:0051239	regulation of multicellular organismal process
67	692	396	0.45125699676298	1.86763604115388e-11	0	GO:0010627	regulation of intracellular protein kinase cascade
45	682	266	0.450091073149533	2.88684094656192e-08	0	GO:0009887	organ morphogenesis
57	688	337	0.450056432828585	5.33649137327653e-10	0	GO:0045321	leukocyte activation
64	696	377	0.448901027835121	6.03648057292362e-11	0	GO:0050877	neurological system process
84	688	510	0.446872084938949	1.32632830808957e-13	0	GO:0009611	response to wounding
72	688	438	0.440703131156148	9.68935241765169e-12	0	GO:0001775	cell activation
93	693	577	0.435118901772757	3.34785711630591e-14	0	GO:0009605	response to external stimulus
46	693	276	0.43448186666009	5.25416836096476e-08	0	GO:0019725	cellular homeostasis
48	688	296	0.424188518676999	5.15458768523867e-08	0	GO:0046649	lymphocyte activation
54	688	335	0.423131268641354	9.04355518165763e-09	0	GO:0072358	cardiovascular system development
54	688	335	0.423131268641354	9.04355518165763e-09	0	GO:0072359	circulatory system development
50	682	314	0.419598891753286	3.71121447347491e-08	0	GO:0060429	epithelium development
77	697	483	0.419389282770986	1.61184898152865e-11	0	GO:0045087	innate immune response
54	693	336	0.417882072424609	1.29468986233941e-08	0	GO:0007267	cell-cell signaling
199	697	1397	0.413305495833171	1.05940555832035e-23	0	GO:0048583	regulation of response to stimulus
40	669	261	0.405664023507074	1.48227680059762e-06	0.05	GO:0044463	cell projection part
156	637	1178	0.40493737868626	5.15300244514468e-19	0	GO:0007166	cell surface receptor signaling pathway
54	657	363	0.403853399111424	3.1397861436997e-08	0	GO:0008289	lipid binding
167	697	1159	0.403648353043759	4.67601332724118e-20	0	GO:0002376	immune system process
72	655	493	0.402759018498797	2.68223270514398e-10	0	GO:2000026	regulation of multicellular organismal development
43	697	272	0.402587239048632	7.61994226708853e-07	0.018	GO:0031347	regulation of defense response
45	636	312	0.400666457493418	4.50692034454588e-07	0.011	GO:0051094	positive regulation of developmental process
91	291	1528	0.400615926009817	1.89214165232327e-11	0	GO:0065008	regulation of biological quality
77	692	504	0.40021382312546	9.47213384984416e-11	0	GO:0007243	intracellular protein kinase cascade
104	688	703	0.396982573012286	1.65923415328922e-13	0	GO:0032879	regulation of localization
126	670	899	0.391896125907189	2.17991057199546e-15	0	GO:0009653	anatomical structure morphogenesis
52	348	677	0.39035195947744	1.3046019931216e-07	0.001	GO:0048468	cell development
66	692	440	0.386214340494112	4.99145691836639e-09	0	GO:0023056	positive regulation of signaling
87	693	589	0.385231834931637	3.40004963865327e-11	0	GO:0009888	tissue development
79	653	565	0.384051375948637	2.47247998080289e-10	0	GO:0042127	regulation of cell proliferation
64	692	430	0.381350534941438	1.18273728624199e-08	0	GO:0009967	positive regulation of signal transduction
279	667	2351	0.380131394175953	4.88196561016832e-25	0	GO:0023052	signaling
279	667	2351	0.380131394175953	4.88196561016832e-25	0	GO:0044700	single organism signaling
65	692	442	0.375324425971288	1.46081929266351e-08	0	GO:0010647	positive regulation of cell communication
46	688	311	0.374959663273031	1.49036527260812e-06	0.05	GO:0042060	wound healing
274	697	2198	0.374357231264667	1.60988295669829e-24	0	GO:0007165	signal transduction
284	684	2373	0.368931116446366	3.42739229510664e-24	0	GO:0044707	single-multicellular organism process
381	694	3451	0.36797881554293	1.04248664653745e-26	0	GO:0050896	response to stimulus
73	688	511	0.365809542849511	4.91964847423122e-09	0	GO:0051049	regulation of transport
291	697	2413	0.363309950613654	5.39522601676288e-24	0	GO:0007154	cell communication
195	697	1504	0.356311085522497	2.91254978127637e-18	0	GO:0042221	response to chemical stimulus
287	684	2457	0.355090142117979	9.59739708708333e-23	0	GO:0032501	multicellular organismal process
155	694	1166	0.354948944964913	2.11084690793291e-15	0	GO:0035556	intracellular signal transduction
379	696	3478	0.353814557537831	6.60381963734468e-25	0	GO:0016020	membrane
53	682	378	0.353546933310174	9.77490561306527e-07	0.027	GO:0060341	regulation of cellular localization
91	655	694	0.353022968136945	3.56156864964292e-10	0	GO:0050793	regulation of developmental process
150	697	1133	0.347918062595853	1.45362824103451e-14	0	GO:0023051	regulation of signaling
149	697	1136	0.342249528596991	4.06890025064239e-14	0	GO:0010646	regulation of cell communication
91	316	1568	0.334086715802803	8.73147368392242e-09	0	GO:0044765	single-organism transport
62	655	481	0.333088055616957	5.48809052239157e-07	0.014	GO:0032989	cellular component morphogenesis
301	667	2794	0.330749026375563	2.76643948641238e-20	0	GO:0051716	cellular response to stimulus
135	697	1042	0.329631120076525	2.28584212408535e-12	0	GO:0009966	regulation of signal transduction
137	697	1059	0.329611440627747	1.67876420091722e-12	0	GO:0070887	cellular response to chemical stimulus
136	684	1075	0.327693646737207	2.62318887761833e-12	0	GO:0048513	organ development
144	643	1224	0.3268986138392	1.0127120238864e-12	0	GO:0030154	cell differentiation
185	688	1517	0.324287129920189	4.61301627355931e-15	0	GO:0048731	system development
275	696	2402	0.321779769215211	6.64378191025657e-19	0	GO:0044425	membrane part
67	662	530	0.319143064925631	5.69229721940738e-07	0.015	GO:1901700	response to oxygen-containing compound
151	643	1342	0.304980241237189	8.8342484971076e-12	0	GO:0048869	cellular developmental process
135	350	2362	0.300370058926975	1.81103379641973e-09	0	GO:0051179	localization
189	663	1694	0.297797000686864	3.221707754224e-13	0	GO:0044767	single-organism developmental process
203	663	1848	0.294939991605151	1.3215107748759e-13	0	GO:0048856	anatomical structure development
507	697	5653	0.294783049391161	5.18885182225305e-16	0	GO:0044699	single-organism process
90	321	1634	0.294651959148292	2.98843380113414e-07	0.008	GO:0043168	anion binding
94	659	798	0.293594143611289	6.21362966900188e-08	0	GO:0008283	cell proliferation
108	697	884	0.287478126705061	1.62643784394881e-08	0	GO:0071310	cellular response to organic substance
84	694	682	0.286287188038243	4.70331355621258e-07	0.012	GO:0006468	protein phosphorylation
202	688	1792	0.28548219408803	5.98115797482745e-13	0	GO:0007275	multicellular organismal development
128	692	1075	0.284428005293091	1.82681702249928e-09	0	GO:0065009	regulation of molecular function
220	696	1962	0.282318938188954	2.02035691932881e-13	0	GO:0031224	intrinsic to membrane
223	693	2022	0.276448742137675	4.68379940245514e-13	0	GO:0048518	positive regulation of biological process
