# species: Homo sapiens
# support: EXP, IMP, ISS, ISM, TAS, IEA, IBA, IRD, IDA, IGI, ISO, IGC, NAS, IBD, IPI, IEP, ISA, RCA, IC, IKR
# associations retrieved on: 2014-05-23 08:56:59-04
# gofunc built on: 2013-10-27 21:51:15.890197-04
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.goa_human.gz
#   revision: 0
#   downloaded on: 2013-10-27 16:13:44-04
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201310-assocdb-tables.tar.gz
#   downloaded on: 2013-10-17 16:47:31-04
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2012-02-05 16:36:50.758813-05
#     synergizer db built from: Ensembl Genes 65 / Ensembl Metazoa Genes 12 / Ensembl Plants Genes 10
#   namespace: ensembl_gene_id
#   coverage: 99.6%
# size of "genespace": 9651
# number of attributes: 14476
# NOTE: these associations have been restricted to the genes included
# in the user-supplied gene space.
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
# Original number of entities in query: 627
# Number of entities in query: 627
# Total number of entities: 9651
# Total number of attributes: 14476
# Original total number of attributes: 17521
# Translation required: yes
# Translation coverage: 0.995851
# Mode: unordered
# Number of simulations: 1000
# Adjusted P-value cutoff: 0.05
# Over/under: over
# Evidence codes: EXP, IMP, ISS, ISM, TAS, IEA, IBA, IRD, IDA, IGI, ISO, IGC, NAS, IBD, IPI, IEP, ISA, RCA, IC, IKR
OVERREPRESENTED ATTRIBUTES
N	X	LOD	P	P_adj	attrib ID	attrib name
36	195	0.535280662240149	8.72026964493986e-09	<0.001	GO:0002694	regulation of leukocyte activation
23	124	0.53374074280636	4.00039459413053e-06	0.006	GO:0051146	striated muscle cell differentiation
41	225	0.530260538251405	1.18487773760793e-09	<0.001	GO:0002768	immune response-regulating cell surface receptor signaling pathway
42	231	0.529483947554324	7.93100000373132e-10	<0.001	GO:0051050	positive regulation of transport
64	359	0.529097678347439	5.66363966959286e-14	<0.001	GO:0031226	intrinsic to plasma membrane
45	249	0.527515358918288	2.36811719226022e-10	<0.001	GO:0006935	chemotaxis
45	249	0.527515358918288	2.36811719226022e-10	<0.001	GO:0042330	taxis
33	181	0.527408251838023	5.03104060461811e-08	0.001	GO:0030334	regulation of cell migration
31	170	0.526807769384301	1.2792238108868e-07	0.001	GO:0032101	regulation of response to external stimulus
62	349	0.52619674781069	1.7041651613989e-13	<0.001	GO:0005887	integral to plasma membrane
23	126	0.525169087101552	5.30093738221388e-06	0.006	GO:0002250	adaptive immune response
73	416	0.525053816785604	1.92153440346237e-15	<0.001	GO:0048870	cell motility
73	416	0.525053816785604	1.92153440346237e-15	<0.001	GO:0051674	localization of cell
21	115	0.525051621011897	1.3447830738458e-05	0.022	GO:0072507	divalent inorganic cation homeostasis
38	211	0.522694314645181	6.83444620768601e-09	<0.001	GO:0005509	calcium ion binding
32	177	0.522527113410158	9.86420117218069e-08	0.001	GO:0051046	regulation of secretion
54	304	0.522277728144584	6.93672968525258e-12	<0.001	GO:0050778	positive regulation of immune response
23	127	0.520944464182831	6.08597208233497e-06	0.007	GO:0002443	leukocyte mediated immunity
34	189	0.520567116474595	4.44312888167854e-08	0.001	GO:0048729	tissue morphogenesis
47	264	0.520284776112898	1.58071031646525e-10	<0.001	GO:0002253	activation of immune response
40	224	0.518927610261755	3.5033349320332e-09	<0.001	GO:0051270	regulation of cellular component movement
20	111	0.517808126461491	2.63458662901323e-05	0.043	GO:0072503	cellular divalent inorganic cation homeostasis
44	248	0.517119042558775	6.9689983520743e-10	<0.001	GO:0002757	immune response-activating signal transduction
117	712	0.512962169360769	3.99287410655806e-22	<0.001	GO:0006955	immune response
68	396	0.510699608026509	5.812548723836e-14	<0.001	GO:0002684	positive regulation of immune system process
30	170	0.508918597182137	4.28506119417384e-07	0.002	GO:0031252	cell leading edge
31	177	0.505202080120646	3.27302935809444e-07	0.001	GO:0051249	regulation of lymphocyte activation
222	1544	0.50457518305153	4.14793186240731e-35	<0.001	GO:0071944	cell periphery
35	201	0.503485950039144	6.57515163925321e-08	0.001	GO:2000145	regulation of cell motility
216	1495	0.503097229195425	2.6667245713324e-34	<0.001	GO:0005886	plasma membrane
74	441	0.501173804334836	1.4124389381418e-14	<0.001	GO:0050776	regulation of immune response
36	210	0.495510490613466	6.43640179914116e-08	0.001	GO:0040012	regulation of locomotion
89	545	0.494101346878297	1.20182680842846e-16	<0.001	GO:0003008	system process
52	310	0.490479665152709	1.56838504383241e-10	<0.001	GO:0002764	immune response-regulating signaling pathway
46	273	0.490281108339585	1.61914630865013e-09	<0.001	GO:0022603	regulation of anatomical structure morphogenesis
64	387	0.488385633771702	1.97928191878028e-12	<0.001	GO:0004871	signal transducer activity
64	387	0.488385633771702	1.97928191878028e-12	<0.001	GO:0060089	molecular transducer activity
59	356	0.487189384126444	1.4097413161201e-11	<0.001	GO:0046903	secretion
99	620	0.487121492386382	8.61568112813515e-18	<0.001	GO:0002682	regulation of immune system process
35	208	0.48525739294074	1.5791289397096e-07	0.001	GO:0001944	vasculature development
22	130	0.484833046355594	2.92717428811356e-05	0.048	GO:0030155	regulation of cell adhesion
28	166	0.484336644397173	2.63544668175821e-06	0.005	GO:0042692	muscle cell differentiation
88	549	0.483431418379329	5.94197023561728e-16	<0.001	GO:0040011	locomotion
23	137	0.480768144935171	2.2140318127024e-05	0.039	GO:0050867	positive regulation of cell activation
52	316	0.480217193027441	3.2153202104565e-10	<0.001	GO:0032940	secretion by cell
26	156	0.477521270039275	7.49226261019948e-06	0.012	GO:0007517	muscle organ development
25	152	0.470340941092959	1.41881173619967e-05	0.023	GO:0009617	response to bacterium
33	202	0.468936332933672	7.20718845595885e-07	0.002	GO:0006954	inflammatory response
40	246	0.468921815523238	5.39509141019312e-08	0.001	GO:0043408	regulation of MAPK cascade
32	198	0.462947546826269	1.35539193727444e-06	0.003	GO:0001568	blood vessel development
25	155	0.46009415696538	2.00575163208731e-05	0.032	GO:0022604	regulation of cell morphogenesis
34	212	0.459531633180642	7.60725559425708e-07	0.002	GO:0055082	cellular chemical homeostasis
24	149	0.459210691507243	2.99515580764953e-05	0.049	GO:0090066	regulation of anatomical structure size
58	377	0.446984995026327	4.40519785343949e-10	<0.001	GO:0050877	neurological system process
97	654	0.445829561057647	2.89305460335791e-15	<0.001	GO:0006928	cellular component movement
35	226	0.441504033443661	1.21832576069766e-06	0.003	GO:0061061	muscle structure development
41	266	0.441091529672854	1.67840075790319e-07	0.001	GO:0009887	organ morphogenesis
123	860	0.439467303785384	4.70221002505281e-18	<0.001	GO:0051239	regulation of multicellular organismal process
48	314	0.439420819247026	1.87555105489968e-08	<0.001	GO:0060429	epithelium development
26	168	0.438730594077781	2.89519716679266e-05	0.048	GO:0048514	blood vessel morphogenesis
29	188	0.437700407983357	1.08150454495365e-05	0.017	GO:0030855	epithelial cell differentiation
38	248	0.436922502009039	5.58308869881675e-07	0.002	GO:0010740	positive regulation of intracellular protein kinase cascade
99	682	0.435156853526752	5.97380828545968e-15	<0.001	GO:0048584	positive regulation of response to stimulus
47	312	0.43130617709558	4.22432150926366e-08	<0.001	GO:0048878	chemical homeostasis
99	690	0.428831189404576	1.28831488028182e-14	<0.001	GO:0006952	defense response
50	335	0.427619863674236	2.09040875146691e-08	<0.001	GO:0072358	cardiovascular system development
50	335	0.427619863674236	2.09040875146691e-08	<0.001	GO:0072359	circulatory system development
50	336	0.42605165382243	2.30844511500921e-08	<0.001	GO:0007267	cell-cell signaling
39	261	0.424126646872278	7.63253701882625e-07	0.002	GO:0030029	actin filament-based process
42	282	0.423463997104238	3.11711063596532e-07	0.001	GO:0000165	MAPK cascade
83	577	0.422496782766459	2.11662812286562e-12	<0.001	GO:0009605	response to external stimulus
28	187	0.421998219321266	2.68636109611971e-05	0.044	GO:0007610	behavior
50	341	0.418289155043078	3.7622600322438e-08	<0.001	GO:0002252	immune effector process
31	209	0.417833367181218	1.22023485783498e-05	0.018	GO:0042110	T cell activation
73	510	0.415274481308291	6.67749835646427e-11	<0.001	GO:0009611	response to wounding
63	438	0.413490840702769	1.24786100410968e-09	<0.001	GO:0001775	cell activation
82	589	0.404535289280229	1.66613265782514e-11	<0.001	GO:0009888	tissue development
48	337	0.402327498290408	1.76201911776981e-07	0.001	GO:0045321	leukocyte activation
56	396	0.401659916341872	2.03987449713459e-08	<0.001	GO:0010627	regulation of intracellular protein kinase cascade
47	331	0.400345391965015	2.61023043455533e-07	0.001	GO:0051707	response to other organism
32	224	0.398654507422442	1.93694808819454e-05	0.032	GO:1901615	organic hydroxy compound metabolic process
150	1159	0.39838741918206	5.81609901450721e-18	<0.001	GO:0002376	immune system process
48	342	0.394642115854487	2.7661588820221e-07	0.001	GO:0009607	response to biotic stimulus
68	493	0.393464117037807	1.60877104690846e-09	<0.001	GO:2000026	regulation of multicellular organismal development
35	249	0.391113257378813	1.13815803083654e-05	0.018	GO:0035637	multicellular organismal signaling
34	242	0.390588524321276	1.53305104835114e-05	0.024	GO:0030036	actin cytoskeleton organization
174	1397	0.38979227904179	2.72551313605174e-19	<0.001	GO:0048583	regulation of response to stimulus
150	1178	0.389258769559999	2.66862532271316e-17	<0.001	GO:0007166	cell surface receptor signaling pathway
38	272	0.388847651292919	5.55537956940422e-06	0.006	GO:0031347	regulation of defense response
66	483	0.387692436262718	4.21203895307368e-09	<0.001	GO:0045087	innate immune response
34	244	0.386343953714311	1.82940802639318e-05	0.031	GO:0048812	neuron projection morphogenesis
50	363	0.385594785346613	2.79039478752948e-07	0.001	GO:0008289	lipid binding
41	296	0.385364008217285	2.94715971995319e-06	0.005	GO:0046649	lymphocyte activation
43	312	0.383426924299862	1.92553496380629e-06	0.005	GO:0051094	positive regulation of developmental process
38	275	0.383178644144388	7.21691875711222e-06	0.011	GO:0043005	neuron projection
93	703	0.382206547809951	1.15974442222281e-11	<0.001	GO:0032879	regulation of localization
36	261	0.381649564904835	1.30937838579739e-05	0.022	GO:0044463	cell projection part
38	276	0.381304450069715	7.86546180677485e-06	0.014	GO:0019725	cellular homeostasis
44	322	0.379328251566521	1.84363216292949e-06	0.005	GO:0097458	neuron part
36	264	0.375761818118	1.69047660316752e-05	0.025	GO:0005543	phospholipid binding
115	899	0.374248730295528	2.62816513758409e-13	<0.001	GO:0009653	anatomical structure morphogenesis
76	582	0.367899596420249	2.0589726120572e-09	<0.001	GO:0042995	cell projection
39	291	0.36771262287977	1.14048819733321e-05	0.018	GO:0000904	cell morphogenesis involved in differentiation
243	2198	0.359733499940371	9.02185101840605e-21	<0.001	GO:0007165	signal transduction
256	2351	0.358542785284538	3.29577536367786e-21	<0.001	GO:0023052	signaling
256	2351	0.358542785284538	3.29577536367786e-21	<0.001	GO:0044700	single organism signaling
342	3451	0.358355360792793	2.57018267404192e-23	<0.001	GO:0050896	response to stimulus
47	359	0.358184154976246	2.76376882070944e-06	0.005	GO:0048666	neuron development
88	694	0.357355732708017	4.27399266678082e-10	<0.001	GO:0050793	regulation of developmental process
65	504	0.356925486355254	5.47804433202023e-08	0.001	GO:0007243	intracellular protein kinase cascade
42	321	0.356264862541036	9.61117532411277e-06	0.017	GO:0031175	neuron projection development
342	3478	0.352613850763395	1.20209650365463e-22	<0.001	GO:0016020	membrane
65	511	0.349708665586171	9.27701256475649e-08	0.001	GO:0051049	regulation of transport
258	2413	0.348223205377589	3.06359160672769e-20	<0.001	GO:0007154	cell communication
56	440	0.346674743484905	7.50849650569028e-07	0.002	GO:0023056	positive regulation of signaling
253	2373	0.343220098787797	1.48085347867143e-19	<0.001	GO:0044707	single-multicellular organism process
54	430	0.339038889254992	1.81498325872949e-06	0.004	GO:0009967	positive regulation of signal transduction
70	565	0.337824159984906	8.22434864772541e-08	0.001	GO:0042127	regulation of cell proliferation
55	442	0.334633845650676	1.93414019765877e-06	0.005	GO:0010647	positive regulation of cell communication
136	1166	0.333352439945957	1.44187600875579e-12	<0.001	GO:0035556	intracellular signal transduction
47	378	0.331602511267778	1.13200535619263e-05	0.018	GO:0060341	regulation of cellular localization
256	2457	0.330417057441333	2.01736099331169e-18	<0.001	GO:0032501	multicellular organismal process
169	1504	0.328084571446455	2.94750189124257e-14	<0.001	GO:0042221	response to chemical stimulus
125	1075	0.326671177394438	1.87453872948835e-11	<0.001	GO:0048513	organ development
131	1133	0.326231844469698	7.98755210096495e-12	<0.001	GO:0023051	regulation of signaling
55	452	0.323065327081786	3.86212462481496e-06	0.006	GO:0005102	receptor binding
130	1136	0.320096780907555	2.04995561237364e-11	<0.001	GO:0010646	regulation of cell communication
247	2402	0.316597642841468	7.83906636328586e-17	<0.001	GO:0044425	membrane part
52	432	0.316499192970592	9.78500988798003e-06	0.017	GO:0030182	neuron differentiation
167	1517	0.315340678743997	2.89623877984028e-13	<0.001	GO:0048731	system development
137	1224	0.310918159123671	2.5460379073423e-11	<0.001	GO:0030154	cell differentiation
57	481	0.3100582015442	5.83572860683437e-06	0.007	GO:0032989	cellular component morphogenesis
276	2794	0.307975285213318	7.43702962084446e-17	<0.001	GO:0051716	cellular response to stimulus
117	1042	0.30412390684575	8.87178689398183e-10	<0.001	GO:0009966	regulation of signal transduction
53	456	0.298803042474623	2.17608658113571e-05	0.039	GO:0000902	cell morphogenesis
54	466	0.297568362069094	1.97748902064468e-05	0.032	GO:0048699	generation of neurons
77	677	0.295575502084921	6.26361580767034e-07	0.002	GO:0048468	cell development
57	496	0.294218909082268	1.47759394554024e-05	0.024	GO:0045595	regulation of cell differentiation
57	498	0.292145899500046	1.66481676862506e-05	0.025	GO:0022008	neurogenesis
143	1342	0.286069963157434	3.08636277149321e-10	<0.001	GO:0048869	cellular developmental process
114	1059	0.279987990846052	1.79783861189448e-08	<0.001	GO:0070887	cellular response to chemical stimulus
198	1962	0.279142209994349	4.130802336268e-12	<0.001	GO:0031224	intrinsic to membrane
174	1694	0.278553477358024	3.6799978946256e-11	<0.001	GO:0044767	single-organism developmental process
59	530	0.278448659348411	2.71496397033607e-05	0.045	GO:1901700	response to oxygen-containing compound
452	5653	0.277673954440494	2.6938342141295e-13	<0.001	GO:0044699	single-organism process
187	1848	0.275639304856492	1.80191451925609e-11	<0.001	GO:0048856	anatomical structure development
182	1792	0.275536300780348	2.81389162382443e-11	<0.001	GO:0007275	multicellular organismal development
194	1946	0.269956207129898	2.45651731233194e-11	<0.001	GO:0016021	integral to membrane
423	5240	0.257362503643736	2.77651008677425e-12	<0.001	GO:0044763	single-organism cellular process
84	798	0.257282081233659	4.56974128886072e-06	0.006	GO:0008283	cell proliferation
202	2095	0.253441040216229	1.76465447464191e-10	<0.001	GO:0032502	developmental process
193	2022	0.243419752269197	1.39345740307812e-09	<0.001	GO:0048518	positive regulation of biological process
116	1160	0.240601944929511	7.39867531719079e-07	0.002	GO:0010033	response to organic substance
89	884	0.235370593269123	1.39608128127411e-05	0.023	GO:0071310	cellular response to organic substance
147	1528	0.230040008970263	1.79510188454916e-07	0.001	GO:0065008	regulation of biological quality
106	1075	0.229639983584465	4.75436510545837e-06	0.006	GO:0065009	regulation of molecular function
173	1832	0.228990568673723	3.47509776656247e-08	<0.001	GO:0006950	response to stress
144	1568	0.202651078444403	3.91191551920711e-06	0.006	GO:0044765	single-organism transport
207	2362	0.196629201592653	3.78394017887162e-07	0.002	GO:0051179	localization
145	1634	0.183437242264815	2.34425230056895e-05	0.039	GO:0043168	anion binding
