GO_TERM	FULL_NAME
GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000491	small nucleolar ribonucleoprotein complex assembly
GO:0000492	box C/D snoRNP assembly
GO:0000502	proteasome complex
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
GO:0000578	embryonic axis specification
GO:0000700	mismatch base pair DNA N-glycosylase activity
GO:0000701	purine-specific mismatch base pair DNA N-glycosylase activity
GO:0000702	oxidized base lesion DNA N-glycosylase activity
GO:0000710	meiotic mismatch repair
GO:0000712	resolution of meiotic recombination intermediates
GO:0000715	nucleotide-excision repair, DNA damage recognition
GO:0000717	nucleotide-excision repair, DNA duplex unwinding
GO:0000718	nucleotide-excision repair, DNA damage removal
GO:0000720	pyrimidine dimer repair by nucleotide-excision repair
GO:0000722	telomere maintenance via recombination
GO:0000723	telomere maintenance
GO:0000724	double-strand break repair via homologous recombination
GO:0000725	recombinational repair
GO:0000726	non-recombinational repair
GO:0000729	DNA double-strand break processing
GO:0000730	DNA recombinase assembly
GO:0000731	DNA synthesis involved in DNA repair
GO:0000733	DNA strand renaturation
GO:0000737	DNA catabolic process, endonucleolytic
GO:0000738	DNA catabolic process, exonucleolytic
GO:0000741	karyogamy
GO:0000768	syncytium formation by plasma membrane fusion
GO:0000773	phosphatidyl-N-methylethanolamine N-methyltransferase activity
GO:0000774	adenyl-nucleotide exchange factor activity
GO:0000775	chromosome, centromeric region
GO:0000776	kinetochore
GO:0000777	condensed chromosome kinetochore
GO:0000778	condensed nuclear chromosome kinetochore
GO:0000779	condensed chromosome, centromeric region
GO:0000780	condensed nuclear chromosome, centromeric region
GO:0000781	chromosome, telomeric region
GO:0000782	telomere cap complex
GO:0000783	nuclear telomere cap complex
GO:0000784	nuclear chromosome, telomeric region
GO:0000785	chromatin
GO:0000786	nucleosome
GO:0000788	nuclear nucleosome
GO:0000789	cytoplasmic chromatin
GO:0000790	nuclear chromatin
GO:0000791	euchromatin
GO:0000792	heterochromatin
GO:0000793	condensed chromosome
GO:0000794	condensed nuclear chromosome
GO:0000795	synaptonemal complex
GO:0000796	condensin complex
GO:0000797	condensin core heterodimer
GO:0000798	nuclear cohesin complex
GO:0000799	nuclear condensin complex
GO:0000800	lateral element
GO:0000801	central element
GO:0000803	sex chromosome
GO:0000805	X chromosome
GO:0000806	Y chromosome
GO:0000808	origin recognition complex
GO:0000813	ESCRT I complex
GO:0000815	ESCRT III complex
GO:0000819	sister chromatid segregation
GO:0000822	inositol hexakisphosphate binding
GO:0000823	inositol-1,4,5-trisphosphate 6-kinase activity
GO:0000824	inositol tetrakisphosphate 3-kinase activity
GO:0000827	inositol-1,3,4,5,6-pentakisphosphate kinase activity
GO:0000828	inositol hexakisphosphate kinase activity
GO:0000832	inositol hexakisphosphate 5-kinase activity
GO:0000835	ER ubiquitin ligase complex
GO:0000836	Hrd1p ubiquitin ligase complex
GO:0000900	translation repressor activity, nucleic acid binding
GO:0000902	cell morphogenesis
GO:0000904	cell morphogenesis involved in differentiation
GO:0000910	cytokinesis
GO:0000912	assembly of actomyosin apparatus involved in cytokinesis
GO:0000915	cytokinesis, actomyosin contractile ring assembly
GO:0000917	barrier septum assembly
GO:0000920	cytokinetic cell separation
GO:0000921	septin ring assembly
GO:0000922	spindle pole
GO:0000930	gamma-tubulin complex
GO:0000931	gamma-tubulin large complex
GO:0000932	cytoplasmic mRNA processing body
GO:0000938	GARP complex
GO:0000939	condensed chromosome inner kinetochore
GO:0000940	condensed chromosome outer kinetochore
GO:0000942	condensed nuclear chromosome outer kinetochore
GO:0000956	nuclear-transcribed mRNA catabolic process
GO:0000957	mitochondrial RNA catabolic process
GO:0000958	mitochondrial mRNA catabolic process
GO:0000959	mitochondrial RNA metabolic process
GO:0000960	regulation of mitochondrial RNA catabolic process
GO:0000961	negative regulation of mitochondrial RNA catabolic process
GO:0000962	positive regulation of mitochondrial RNA catabolic process
GO:0000963	mitochondrial RNA processing
GO:0000964	mitochondrial RNA 5'-end processing
GO:0000965	mitochondrial RNA 3'-end processing
GO:0000966	RNA 5'-end processing
GO:0000967	rRNA 5'-end processing
GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0000974	Prp19 complex
GO:0000975	regulatory region DNA binding
GO:0000976	transcription regulatory region sequence-specific DNA binding
GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding
GO:0000978	RNA polymerase II core promoter proximal region sequence-specific DNA binding
GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding
GO:0000980	RNA polymerase II distal enhancer sequence-specific DNA binding
GO:0000981	sequence-specific DNA binding RNA polymerase II transcription factor activity
GO:0000982	RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity
GO:0000983	RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity
GO:0000987	core promoter proximal region sequence-specific DNA binding
GO:0000988	protein binding transcription factor activity
GO:0000989	transcription factor binding transcription factor activity
GO:0000993	RNA polymerase II core binding
GO:0001010	sequence-specific DNA binding transcription factor recruiting transcription factor activity
GO:0001011	sequence-specific DNA binding RNA polymerase recruiting transcription factor activity
GO:0001012	RNA polymerase II regulatory region DNA binding
GO:0001013	RNA polymerase I regulatory region DNA binding
GO:0001016	RNA polymerase III regulatory region DNA binding
GO:0001025	RNA polymerase III transcription factor binding
GO:0001030	RNA polymerase III type 1 promoter DNA binding
GO:0001031	RNA polymerase III type 2 promoter DNA binding
GO:0001032	RNA polymerase III type 3 promoter DNA binding
GO:0001046	core promoter sequence-specific DNA binding
GO:0001047	core promoter binding
GO:0001067	regulatory region nucleic acid binding
GO:0001071	nucleic acid binding transcription factor activity
GO:0001076	RNA polymerase II transcription factor binding transcription factor activity
GO:0001077	RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription
GO:0001078	RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription
GO:0001082	RNA polymerase I transcription factor binding transcription factor activity
GO:0001083	RNA polymerase II basal transcription factor binding transcription factor activity
GO:0001085	RNA polymerase II transcription factor binding
GO:0001087	TFIIB-class binding transcription factor activity
GO:0001091	RNA polymerase II basal transcription factor binding
GO:0001093	TFIIB-class transcription factor binding
GO:0001094	TFIID-class transcription factor binding
GO:0001098	basal transcription machinery binding
GO:0001099	basal RNA polymerase II transcription machinery binding
GO:0001100	negative regulation of exit from mitosis
GO:0001101	response to acid
GO:0001102	RNA polymerase II activating transcription factor binding
GO:0001103	RNA polymerase II repressing transcription factor binding
GO:0001104	RNA polymerase II transcription cofactor activity
GO:0001105	RNA polymerase II transcription coactivator activity
GO:0001106	RNA polymerase II transcription corepressor activity
GO:0001133	sequence-specific transcription regulatory region DNA binding RNA polymerase II transcription factor recruiting transcription factor activity
GO:0001134	transcription factor recruiting transcription factor activity
GO:0001156	TFIIIC-class transcription factor binding
GO:0001158	enhancer sequence-specific DNA binding
GO:0001159	core promoter proximal region DNA binding
GO:0001163	RNA polymerase I regulatory region sequence-specific DNA binding
GO:0001164	RNA polymerase I CORE element sequence-specific DNA binding
GO:0001167	sequence-specific DNA binding RNA polymerase I transcription factor activity
GO:0001169	RNA polymerase I CORE element sequence-specific DNA binding transcription factor activity
GO:0001180	transcription initiation from RNA polymerase I promoter for nuclear large rRNA transcript
GO:0001186	RNA polymerase I transcription factor recruiting transcription factor activity
GO:0001187	RNA polymerase I CORE element sequence-specific DNA binding transcription factor recruiting transcription factor activity
GO:0001188	RNA polymerase I transcriptional preinitiation complex assembly
GO:0001189	RNA polymerase I transcriptional preinitiation complex assembly at the promoter for the nuclear large rRNA transcript
GO:0001190	RNA polymerase II transcription factor binding transcription factor activity involved in positive regulation of transcription
GO:0001191	RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription
GO:0001205	RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription
GO:0001221	transcription cofactor binding
GO:0001222	transcription corepressor binding
GO:0001224	RNA polymerase II transcription cofactor binding
GO:0001226	RNA polymerase II transcription corepressor binding
GO:0001227	RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription
GO:0001228	RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription
GO:0001301	progressive alteration of chromatin involved in cell aging
GO:0001302	replicative cell aging
GO:0001304	progressive alteration of chromatin involved in replicative cell aging
GO:0001306	age-dependent response to oxidative stress
GO:0001309	age-dependent telomere shortening
GO:0001315	age-dependent response to reactive oxygen species
GO:0001401	mitochondrial sorting and assembly machinery complex
GO:0001501	skeletal system development
GO:0001502	cartilage condensation
GO:0001503	ossification
GO:0001504	neurotransmitter uptake
GO:0001505	regulation of neurotransmitter levels
GO:0001508	regulation of action potential
GO:0001510	RNA methylation
GO:0001512	dihydronicotinamide riboside quinone reductase activity
GO:0001514	selenocysteine incorporation
GO:0001515	opioid peptide activity
GO:0001516	prostaglandin biosynthetic process
GO:0001517	N-acetylglucosamine 6-O-sulfotransferase activity
GO:0001519	peptide amidation
GO:0001520	outer dense fiber
GO:0001522	pseudouridine synthesis
GO:0001523	retinoid metabolic process
GO:0001525	angiogenesis
GO:0001527	microfibril
GO:0001530	lipopolysaccharide binding
GO:0001532	interleukin-21 receptor activity
GO:0001533	cornified envelope
GO:0001537	N-acetylgalactosamine 4-O-sulfotransferase activity
GO:0001539	ciliary or bacterial-type flagellar motility
GO:0001540	beta-amyloid binding
GO:0001541	ovarian follicle development
GO:0001542	ovulation from ovarian follicle
GO:0001543	ovarian follicle rupture
GO:0001544	initiation of primordial ovarian follicle growth
GO:0001547	antral ovarian follicle growth
GO:0001553	luteinization
GO:0001554	luteolysis
GO:0001555	oocyte growth
GO:0001556	oocyte maturation
GO:0001558	regulation of cell growth
GO:0001561	fatty acid alpha-oxidation
GO:0001562	response to protozoan
GO:0001568	blood vessel development
GO:0001569	patterning of blood vessels
GO:0001570	vasculogenesis
GO:0001573	ganglioside metabolic process
GO:0001574	ganglioside biosynthetic process
GO:0001575	globoside metabolic process
GO:0001578	microtubule bundle formation
GO:0001579	medium-chain fatty acid transport
GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste
GO:0001595	angiotensin receptor activity
GO:0001605	adrenomedullin receptor activity
GO:0001608	G-protein coupled nucleotide receptor activity
GO:0001614	purinergic nucleotide receptor activity
GO:0001618	virus receptor activity
GO:0001635	calcitonin gene-related polypeptide receptor activity
GO:0001637	G-protein coupled chemoattractant receptor activity
GO:0001649	osteoblast differentiation
GO:0001650	fibrillar center
GO:0001652	granular component
GO:0001653	peptide receptor activity
GO:0001654	eye development
GO:0001655	urogenital system development
GO:0001656	metanephros development
GO:0001657	ureteric bud development
GO:0001658	branching involved in ureteric bud morphogenesis
GO:0001659	temperature homeostasis
GO:0001660	fever generation
GO:0001662	behavioral fear response
GO:0001664	G-protein coupled receptor binding
GO:0001665	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity
GO:0001666	response to hypoxia
GO:0001667	ameboidal cell migration
GO:0001669	acrosomal vesicle
GO:0001671	ATPase activator activity
GO:0001672	regulation of chromatin assembly or disassembly
GO:0001673	male germ cell nucleus
GO:0001674	female germ cell nucleus
GO:0001675	acrosome assembly
GO:0001676	long-chain fatty acid metabolic process
GO:0001678	cellular glucose homeostasis
GO:0001680	tRNA 3'-terminal CCA addition
GO:0001681	sialate O-acetylesterase activity
GO:0001682	tRNA 5'-leader removal
GO:0001696	gastric acid secretion
GO:0001701	in utero embryonic development
GO:0001702	gastrulation with mouth forming second
GO:0001704	formation of primary germ layer
GO:0001706	endoderm formation
GO:0001707	mesoderm formation
GO:0001708	cell fate specification
GO:0001709	cell fate determination
GO:0001710	mesodermal cell fate commitment
GO:0001711	endodermal cell fate commitment
GO:0001714	endodermal cell fate specification
GO:0001716	L-amino-acid oxidase activity
GO:0001725	stress fiber
GO:0001726	ruffle
GO:0001727	lipid kinase activity
GO:0001729	ceramide kinase activity
GO:0001730	2'-5'-oligoadenylate synthetase activity
GO:0001731	formation of translation preinitiation complex
GO:0001732	formation of translation initiation complex
GO:0001735	prenylcysteine oxidase activity
GO:0001736	establishment of planar polarity
GO:0001738	morphogenesis of a polarized epithelium
GO:0001739	sex chromatin
GO:0001740	Barr body
GO:0001741	XY body
GO:0001743	optic placode formation
GO:0001750	photoreceptor outer segment
GO:0001754	eye photoreceptor cell differentiation
GO:0001755	neural crest cell migration
GO:0001756	somitogenesis
GO:0001759	organ induction
GO:0001763	morphogenesis of a branching structure
GO:0001764	neuron migration
GO:0001765	membrane raft assembly
GO:0001766	membrane raft polarization
GO:0001767	establishment of lymphocyte polarity
GO:0001768	establishment of T cell polarity
GO:0001770	establishment of natural killer cell polarity
GO:0001771	immunological synapse formation
GO:0001772	immunological synapse
GO:0001773	myeloid dendritic cell activation
GO:0001774	microglial cell activation
GO:0001775	cell activation
GO:0001776	leukocyte homeostasis
GO:0001777	T cell homeostatic proliferation
GO:0001778	plasma membrane repair
GO:0001779	natural killer cell differentiation
GO:0001780	neutrophil homeostasis
GO:0001781	neutrophil apoptotic process
GO:0001782	B cell homeostasis
GO:0001783	B cell apoptotic process
GO:0001784	phosphotyrosine binding
GO:0001786	phosphatidylserine binding
GO:0001787	natural killer cell proliferation
GO:0001806	type IV hypersensitivity
GO:0001807	regulation of type IV hypersensitivity
GO:0001808	negative regulation of type IV hypersensitivity
GO:0001816	cytokine production
GO:0001817	regulation of cytokine production
GO:0001818	negative regulation of cytokine production
GO:0001819	positive regulation of cytokine production
GO:0001820	serotonin secretion
GO:0001821	histamine secretion
GO:0001822	kidney development
GO:0001823	mesonephros development
GO:0001824	blastocyst development
GO:0001825	blastocyst formation
GO:0001826	inner cell mass cell differentiation
GO:0001829	trophectodermal cell differentiation
GO:0001831	trophectodermal cellular morphogenesis
GO:0001832	blastocyst growth
GO:0001833	inner cell mass cell proliferation
GO:0001835	blastocyst hatching
GO:0001836	release of cytochrome c from mitochondria
GO:0001837	epithelial to mesenchymal transition
GO:0001838	embryonic epithelial tube formation
GO:0001839	neural plate morphogenesis
GO:0001840	neural plate development
GO:0001841	neural tube formation
GO:0001842	neural fold formation
GO:0001843	neural tube closure
GO:0001844	protein insertion into mitochondrial membrane involved in apoptotic signaling pathway
GO:0001845	phagolysosome assembly
GO:0001846	opsonin binding
GO:0001847	opsonin receptor activity
GO:0001848	complement binding
GO:0001849	complement component C1q binding
GO:0001851	complement component C3b binding
GO:0001855	complement component C4b binding
GO:0001861	complement component C4b receptor activity
GO:0001865	NK T cell differentiation
GO:0001866	NK T cell proliferation
GO:0001871	pattern binding
GO:0001875	lipopolysaccharide receptor activity
GO:0001878	response to yeast
GO:0001880	Mullerian duct regression
GO:0001881	receptor recycling
GO:0001882	nucleoside binding
GO:0001883	purine nucleoside binding
GO:0001884	pyrimidine nucleoside binding
GO:0001885	endothelial cell development
GO:0001886	endothelial cell morphogenesis
GO:0001887	selenium compound metabolic process
GO:0001888	glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity
GO:0001889	liver development
GO:0001890	placenta development
GO:0001891	phagocytic cup
GO:0001892	embryonic placenta development
GO:0001893	maternal placenta development
GO:0001894	tissue homeostasis
GO:0001895	retina homeostasis
GO:0001905	activation of membrane attack complex
GO:0001906	cell killing
GO:0001909	leukocyte mediated cytotoxicity
GO:0001910	regulation of leukocyte mediated cytotoxicity
GO:0001911	negative regulation of leukocyte mediated cytotoxicity
GO:0001912	positive regulation of leukocyte mediated cytotoxicity
GO:0001913	T cell mediated cytotoxicity
GO:0001914	regulation of T cell mediated cytotoxicity
GO:0001915	negative regulation of T cell mediated cytotoxicity
GO:0001916	positive regulation of T cell mediated cytotoxicity
GO:0001917	photoreceptor inner segment
GO:0001919	regulation of receptor recycling
GO:0001921	positive regulation of receptor recycling
GO:0001922	B-1 B cell homeostasis
GO:0001923	B-1 B cell differentiation
GO:0001927	exocyst assembly
GO:0001928	regulation of exocyst assembly
GO:0001931	uropod
GO:0001932	regulation of protein phosphorylation
GO:0001933	negative regulation of protein phosphorylation
GO:0001934	positive regulation of protein phosphorylation
GO:0001935	endothelial cell proliferation
GO:0001936	regulation of endothelial cell proliferation
GO:0001937	negative regulation of endothelial cell proliferation
GO:0001938	positive regulation of endothelial cell proliferation
GO:0001939	female pronucleus
GO:0001940	male pronucleus
GO:0001941	postsynaptic membrane organization
GO:0001942	hair follicle development
GO:0001944	vasculature development
GO:0001945	lymph vessel development
GO:0001946	lymphangiogenesis
GO:0001947	heart looping
GO:0001948	glycoprotein binding
GO:0001952	regulation of cell-matrix adhesion
GO:0001953	negative regulation of cell-matrix adhesion
GO:0001954	positive regulation of cell-matrix adhesion
GO:0001955	blood vessel maturation
GO:0001956	positive regulation of neurotransmitter secretion
GO:0001958	endochondral ossification
GO:0001959	regulation of cytokine-mediated signaling pathway
GO:0001960	negative regulation of cytokine-mediated signaling pathway
GO:0001961	positive regulation of cytokine-mediated signaling pathway
GO:0001963	synaptic transmission, dopaminergic
GO:0001964	startle response
GO:0001965	G-protein alpha-subunit binding
GO:0001967	suckling behavior
GO:0001968	fibronectin binding
GO:0001969	regulation of activation of membrane attack complex
GO:0001971	negative regulation of activation of membrane attack complex
GO:0001972	retinoic acid binding
GO:0001973	adenosine receptor signaling pathway
GO:0001974	blood vessel remodeling
GO:0001975	response to amphetamine
GO:0001976	neurological system process involved in regulation of systemic arterial blood pressure
GO:0001977	renal system process involved in regulation of blood volume
GO:0001980	regulation of systemic arterial blood pressure by ischemic conditions
GO:0001990	regulation of systemic arterial blood pressure by hormone
GO:0001991	regulation of systemic arterial blood pressure by circulatory renin-angiotensin
